pod_name,namespace,node,pod_status,cpu_percent,memory_percent,restart_count,image,timestamp
notification-service-24cc9f,fraud-detection,aks-nodepool1-43898913-vmss000013,SUCCESS,54.93,31.06,2,notification-service:v2.4.9,2026-06-18T00:38:00
auth-service-72776d,dataops,aks-nodepool1-17496968-vmss000023,RUNNING,39.02,45.89,0,auth-service:v1.0.8,2026-07-02T20:01:00
recommendation-engine-679fd6,fraud-detection,aks-nodepool1-12223313-vmss000024,SUCCESS,53.49,62.93,0,recommendation-engine:v2.2.6,2026-06-27T09:08:00
payment-gateway-2ec118,billing,aks-nodepool1-98085102-vmss000012,SUCCESS,64.18,22.45,0,payment-gateway:v2.11.1,2026-06-15T21:25:00
recommendation-engine-989e27,security,aks-nodepool1-47631053-vmss000002,SUCCESS,31.61,34.65,1,recommendation-engine:v2.2.6,2026-07-21T19:42:00
auth-service-b2d088,logging,aks-nodepool1-85585651-vmss000007,SUCCESS,67.89,63.14,2,auth-service:v1.0.8,2026-07-26T18:33:00
recommendation-engine-3dd8cb,security,aks-nodepool1-49968287-vmss000008,SUCCESS,86.48,52.75,1,recommendation-engine:v2.2.6,2026-07-02T10:18:00
inventory-sync-b26677,ingress-nginx,aks-nodepool1-94180852-vmss000017,SUCCESS,5.0,37.74,1,inventory-sync:v3.2.2,2026-06-12T10:48:00
notification-service-9922fd,dataops,aks-nodepool1-96011206-vmss000010,SUCCESS,47.8,40.66,0,notification-service:v2.4.9,2026-06-25T00:33:00
order-processor-fd4d05,security,aks-nodepool1-38662564-vmss000011,RUNNING,36.09,58.82,0,order-processor:v3.7.1,2026-06-25T17:09:00
order-processor-9b7e08,security,aks-nodepool1-15271068-vmss000022,QUEUED,79.42,58.94,2,order-processor:v3.7.1,2026-07-09T02:12:00
fraud-detector-310a5f,logging,aks-nodepool1-15271068-vmss000022,SUCCESS,52.02,26.99,1,fraud-detector:v4.17.9,2026-07-24T02:25:00
reporting-service-13ad58,payments,aks-nodepool1-15271068-vmss000022,SUCCESS,38.19,68.11,1,reporting-service:v1.14.0,2026-06-02T18:09:00
payment-gateway-44a219,ingress-nginx,aks-nodepool1-96147474-vmss000005,FAILED,52.59,62.85,0,payment-gateway:v2.11.1,2026-06-04T12:44:00
fraud-detector-4d3b4a,logging,aks-nodepool1-12223313-vmss000024,FAILED,41.17,50.14,0,fraud-detector:v4.17.9,2026-06-09T18:23:00
order-processor-2063e,logging,aks-nodepool1-12223313-vmss000024,CANCELLED,63.47,24.16,0,order-processor:v3.7.1,2026-06-02T12:15:00
notification-service-887024,security,aks-nodepool1-89692162-vmss000014,SUCCESS,56.87,10.01,0,notification-service:v2.4.9,2026-07-20T15:57:00
analytics-aggregator-a8f962,payments,aks-nodepool1-17496968-vmss000023,SUCCESS,29.2,49.25,1,analytics-aggregator:v4.17.6,2026-06-19T15:07:00
fraud-detector-4a1e4c,dataops,aks-nodepool1-96147474-vmss000005,RUNNING,42.06,61.25,1,fraud-detector:v4.17.9,2026-06-10T00:28:00
order-processor-a2c79b,billing,aks-nodepool1-94180852-vmss000017,SUCCESS,35.44,54.81,2,order-processor:v3.7.1,2026-06-03T23:39:00
payment-gateway-1aa6db,analytics,aks-nodepool1-96011206-vmss000010,RUNNING,69.17,66.88,0,payment-gateway:v2.11.1,2026-06-02T16:18:00
notification-service-e6bf4,fraud-detection,aks-nodepool1-82588396-vmss000006,SUCCESS,67.54,55.18,1,notification-service:v2.4.9,2026-07-20T19:28:00
payment-gateway-a3c690,ingress-nginx,aks-nodepool1-47631053-vmss000002,SUCCESS,59.59,46.49,2,payment-gateway:v2.11.1,2026-07-23T19:17:00
analytics-aggregator-7f98c,ingress-nginx,aks-nodepool1-43056794-vmss000016,FAILED,46.38,60.67,2,analytics-aggregator:v4.17.6,2026-06-07T17:14:00
recommendation-engine-74d88a,monitoring,aks-nodepool1-85585651-vmss000007,FAILED,74.58,67.88,1,recommendation-engine:v2.2.6,2026-07-13T21:47:00
auth-service-ac8d99,analytics,aks-nodepool1-82588396-vmss000006,SUCCESS,7.82,33.22,1,auth-service:v1.0.8,2026-07-16T20:04:00
billing-worker-fa35a3,fraud-detection,aks-nodepool1-48357559-vmss000003,SUCCESS,33.64,71.39,1,billing-worker:v4.0.2,2026-07-26T17:06:00
recommendation-engine-40b92,ingress-nginx,aks-nodepool1-82588396-vmss000006,SUCCESS,59.12,55.66,1,recommendation-engine:v2.2.6,2026-07-24T16:04:00
inventory-sync-a14480,monitoring,aks-nodepool1-88032392-vmss000021,SUCCESS,16.05,46.46,0,inventory-sync:v3.2.2,2026-07-14T07:16:00
order-processor-7d0689,customer-360,aks-nodepool1-83743961-vmss000009,SUCCESS,1.0,71.68,2,order-processor:v3.7.1,2026-07-23T06:34:00
auth-service-62ee94,payments,aks-nodepool1-96011206-vmss000010,SUCCESS,50.24,45.46,1,auth-service:v1.0.8,2026-07-23T14:23:00
recommendation-engine-b6195d,monitoring,aks-nodepool1-47631053-vmss000002,SUCCESS,52.66,60.0,3,recommendation-engine:v2.2.6,2026-06-15T10:09:00
recommendation-engine-b7c25d,customer-360,aks-nodepool1-12223313-vmss000024,SUCCESS,58.08,81.14,3,recommendation-engine:v2.2.6,2026-06-20T15:09:00
billing-worker-3ffe4a,fraud-detection,aks-nodepool1-48627762-vmss000001,SUCCESS,52.37,56.0,1,billing-worker:v4.0.2,2026-07-05T10:14:00
order-processor-b3ace,billing,aks-nodepool1-77686018-vmss000019,SUCCESS,57.26,35.42,0,order-processor:v3.7.1,2026-07-14T00:19:00
auth-service-c7daa8,payments,aks-nodepool1-77686018-vmss000019,FAILED,46.44,63.96,1,auth-service:v1.0.8,2026-07-02T07:29:00
auth-service-8c8c03,analytics,aks-nodepool1-48357559-vmss000003,SUCCESS,22.22,33.2,2,auth-service:v1.0.8,2026-06-10T08:54:00
fraud-detector-bcd71d,analytics,aks-nodepool1-98085102-vmss000012,FAILED,33.0,75.75,3,fraud-detector:v4.17.9,2026-06-07T03:52:00
reporting-service-fb2485,logging,aks-nodepool1-48357559-vmss000003,SUCCESS,11.21,52.15,1,reporting-service:v1.14.0,2026-07-17T23:04:00
order-processor-976b6,security,aks-nodepool1-85585651-vmss000007,QUEUED,48.21,67.75,6,order-processor:v3.7.1,2026-06-26T17:58:00
payment-gateway-275947,monitoring,aks-nodepool1-89692162-vmss000014,SUCCESS,35.97,35.31,1,payment-gateway:v2.11.1,2026-07-12T17:47:00
recommendation-engine-90a0c,monitoring,aks-nodepool1-96147474-vmss000005,SUCCESS,49.77,44.58,1,recommendation-engine:v2.2.6,2026-06-17T13:45:00
billing-worker-f17783,analytics,aks-nodepool1-75404546-vmss000018,SUCCESS,64.3,75.47,2,billing-worker:v4.0.2,2026-06-11T21:44:00
fraud-detector-c895d1,dataops,aks-nodepool1-49968287-vmss000008,CANCELLED,70.23,78.76,1,fraud-detector:v4.17.9,2026-07-16T18:29:00
fraud-detector-2fcbee,ingress-nginx,aks-nodepool1-85585651-vmss000007,SUCCESS,48.65,28.85,2,fraud-detector:v4.17.9,2026-06-11T11:39:00
reporting-service-edceaa,billing,aks-nodepool1-15670390-vmss000004,SUCCESS,36.48,41.93,3,reporting-service:v1.14.0,2026-07-20T13:52:00
analytics-aggregator-a3c2ca,monitoring,aks-nodepool1-17496968-vmss000023,SUCCESS,54.25,39.54,2,analytics-aggregator:v4.17.6,2026-06-10T14:47:00
auth-service-d62edd,analytics,aks-nodepool1-88032392-vmss000021,SUCCESS,48.48,20.34,1,auth-service:v1.0.8,2026-06-08T13:30:00
notification-service-d0752f,dataops,aks-nodepool1-48627762-vmss000001,RUNNING,48.54,43.89,1,notification-service:v2.4.9,2026-07-17T16:12:00
reporting-service-82ccd,dataops,aks-nodepool1-49245863-vmss000020,RUNNING,45.84,57.75,0,reporting-service:v1.14.0,2026-06-07T02:33:00
fraud-detector-3f9a86,dataops,aks-nodepool1-96011206-vmss000010,SUCCESS,25.94,49.65,2,fraud-detector:v4.17.9,2026-07-08T20:47:00
auth-service-e24112,payments,aks-nodepool1-15670390-vmss000004,SUCCESS,18.47,63.3,0,auth-service:v1.0.8,2026-07-14T22:40:00
auth-service-683410,customer-360,aks-nodepool1-96147474-vmss000005,SUCCESS,39.55,69.68,0,auth-service:v1.0.8,2026-06-17T00:09:00
fraud-detector-d5a563,monitoring,aks-nodepool1-96011206-vmss000010,SUCCESS,22.41,69.69,1,fraud-detector:v4.17.9,2026-06-08T09:12:00
inventory-sync-979c06,analytics,aks-nodepool1-48357559-vmss000003,FAILED,43.01,66.54,1,inventory-sync:v3.2.2,2026-07-08T07:14:00
recommendation-engine-6f0801,billing,aks-nodepool1-47631053-vmss000002,SUCCESS,47.41,56.34,2,recommendation-engine:v2.2.6,2026-07-13T13:31:00
analytics-aggregator-dc8bd7,fraud-detection,aks-nodepool1-38662564-vmss000011,RUNNING,24.93,29.49,1,analytics-aggregator:v4.17.6,2026-07-10T02:27:00
inventory-sync-92d72e,ingress-nginx,aks-nodepool1-96147474-vmss000005,SUCCESS,51.4,30.85,3,inventory-sync:v3.2.2,2026-07-17T03:08:00
inventory-sync-651e3,security,aks-nodepool1-47631053-vmss000002,QUEUED,31.08,56.16,1,inventory-sync:v3.2.2,2026-07-10T06:22:00
billing-worker-92bc08,fraud-detection,aks-nodepool1-96147474-vmss000005,SUCCESS,55.07,31.45,0,billing-worker:v4.0.2,2026-06-21T12:22:00
reporting-service-83f7d4,ingress-nginx,aks-nodepool1-89692162-vmss000014,SUCCESS,37.64,64.01,0,reporting-service:v1.14.0,2026-07-27T18:27:00
fraud-detector-f0061a,monitoring,aks-nodepool1-85585651-vmss000007,QUEUED,26.21,45.97,0,fraud-detector:v4.17.9,2026-07-05T07:38:00
payment-gateway-e78111,payments,aks-nodepool1-17496968-vmss000023,SUCCESS,38.31,46.76,0,payment-gateway:v2.11.1,2026-07-19T03:53:00
payment-gateway-412723,ingress-nginx,aks-nodepool1-45299337-vmss000015,SUCCESS,69.88,9.22,3,payment-gateway:v2.11.1,2026-06-06T05:02:00
inventory-sync-d9466,analytics,aks-nodepool1-88032392-vmss000021,RUNNING,54.25,70.02,0,inventory-sync:v3.2.2,2026-06-25T12:12:00
order-processor-6f5990,logging,aks-nodepool1-15271068-vmss000022,SUCCESS,30.79,61.69,3,order-processor:v3.7.1,2026-07-11T22:03:00
billing-worker-c9d98c,monitoring,aks-nodepool1-47631053-vmss000002,SUCCESS,42.12,34.14,1,billing-worker:v4.0.2,2026-06-03T16:23:00
payment-gateway-b0f659,monitoring,aks-nodepool1-98085102-vmss000012,FAILED,53.4,51.82,1,payment-gateway:v2.11.1,2026-07-11T06:13:00
recommendation-engine-c2c856,ingress-nginx,aks-nodepool1-88032392-vmss000021,SUCCESS,74.92,61.22,0,recommendation-engine:v2.2.6,2026-06-14T00:42:00
order-processor-58c17,logging,aks-nodepool1-49968287-vmss000008,SUCCESS,44.2,9.66,1,order-processor:v3.7.1,2026-06-21T21:34:00
auth-service-1e9773,ingress-nginx,aks-nodepool1-83743961-vmss000009,SUCCESS,37.81,35.74,0,auth-service:v1.0.8,2026-06-05T06:20:00
reporting-service-66080,monitoring,aks-nodepool1-38662564-vmss000011,SUCCESS,57.87,70.57,2,reporting-service:v1.14.0,2026-07-20T19:05:00
billing-worker-2a2e8,monitoring,aks-nodepool1-88032392-vmss000021,SUCCESS,20.5,31.42,2,billing-worker:v4.0.2,2026-07-15T17:06:00
notification-service-3b0676,security,aks-nodepool1-88032392-vmss000021,SUCCESS,59.03,37.69,3,notification-service:v2.4.9,2026-07-24T16:25:00
billing-worker-97be4c,logging,aks-nodepool1-88032392-vmss000021,QUEUED,24.01,87.68,1,billing-worker:v4.0.2,2026-07-16T05:15:00
notification-service-4f3812,security,aks-nodepool1-98085102-vmss000012,SUCCESS,23.39,31.96,2,notification-service:v2.4.9,2026-06-06T21:02:00
payment-gateway-97ea71,payments,aks-nodepool1-43056794-vmss000016,SUCCESS,29.82,70.19,2,payment-gateway:v2.11.1,2026-06-13T05:06:00
fraud-detector-92a184,analytics,aks-nodepool1-43898913-vmss000013,FAILED,26.2,45.54,1,fraud-detector:v4.17.9,2026-06-22T20:31:00
notification-service-372026,analytics,aks-nodepool1-15271068-vmss000022,SUCCESS,53.8,19.09,3,notification-service:v2.4.9,2026-07-25T01:29:00
inventory-sync-3ef8d5,payments,aks-nodepool1-85585651-vmss000007,SUCCESS,60.78,36.85,0,inventory-sync:v3.2.2,2026-07-27T15:21:00
billing-worker-3d087e,analytics,aks-nodepool1-96011206-vmss000010,SUCCESS,22.28,48.98,1,billing-worker:v4.0.2,2026-06-19T09:58:00
billing-worker-3df4b,security,aks-nodepool1-15670390-vmss000004,SUCCESS,46.64,50.96,0,billing-worker:v4.0.2,2026-07-19T14:20:00
fraud-detector-41246f,payments,aks-nodepool1-82588396-vmss000006,SUCCESS,28.84,55.73,3,fraud-detector:v4.17.9,2026-06-27T13:21:00
analytics-aggregator-38f328,security,aks-nodepool1-12223313-vmss000024,FAILED,34.53,24.72,1,analytics-aggregator:v4.17.6,2026-07-13T14:59:00
notification-service-e1379f,logging,aks-nodepool1-15271068-vmss000022,FAILED,68.64,49.52,1,notification-service:v2.4.9,2026-07-04T02:43:00
payment-gateway-cfdc19,customer-360,aks-nodepool1-45299337-vmss000015,SUCCESS,23.02,74.83,0,payment-gateway:v2.11.1,2026-07-23T02:12:00
recommendation-engine-64a295,billing,aks-nodepool1-38662564-vmss000011,SUCCESS,32.73,31.27,1,recommendation-engine:v2.2.6,2026-07-27T21:12:00
order-processor-c84884,security,aks-nodepool1-43898913-vmss000013,SUCCESS,33.37,29.96,0,order-processor:v3.7.1,2026-06-26T23:38:00
notification-service-25d714,fraud-detection,aks-nodepool1-49245863-vmss000020,SUCCESS,32.07,78.77,1,notification-service:v2.4.9,2026-07-22T02:54:00
order-processor-52d9ff,payments,aks-nodepool1-89692162-vmss000014,SUCCESS,23.2,55.7,0,order-processor:v3.7.1,2026-06-01T21:23:00
analytics-aggregator-f44b1a,security,aks-nodepool1-49245863-vmss000020,RUNNING,45.86,22.53,1,analytics-aggregator:v4.17.6,2026-06-09T05:25:00
recommendation-engine-297f0,security,aks-nodepool1-15670390-vmss000004,SUCCESS,13.64,32.8,2,recommendation-engine:v2.2.6,2026-06-03T12:49:00
payment-gateway-8b7a86,logging,aks-nodepool1-89692162-vmss000014,SUCCESS,50.08,35.85,0,payment-gateway:v2.11.1,2026-07-21T22:16:00
billing-worker-ecb7c5,dataops,aks-nodepool1-49968287-vmss000008,SUCCESS,49.2,57.55,0,billing-worker:v4.0.2,2026-07-17T02:47:00
payment-gateway-b76bd7,analytics,aks-nodepool1-15670390-vmss000004,SUCCESS,72.3,61.19,1,payment-gateway:v2.11.1,2026-06-12T13:57:00
billing-worker-cc9153,payments,aks-nodepool1-89692162-vmss000014,SUCCESS,67.57,64.34,2,billing-worker:v4.0.2,2026-06-28T19:30:00
auth-service-75de00,monitoring,aks-nodepool1-89692162-vmss000014,SUCCESS,46.81,69.64,1,auth-service:v1.0.8,2026-07-16T18:29:00
recommendation-engine-11bf22,billing,aks-nodepool1-83743961-vmss000009,SUCCESS,39.24,61.54,2,recommendation-engine:v2.2.6,2026-07-05T06:48:00
billing-worker-22ceb3,fraud-detection,aks-nodepool1-83743961-vmss000009,SUCCESS,80.68,55.19,4,billing-worker:v4.0.2,2026-07-09T06:33:00
inventory-sync-55bc5d,payments,aks-nodepool1-38662564-vmss000011,SUCCESS,40.9,64.13,2,inventory-sync:v3.2.2,2026-06-11T19:27:00
order-processor-93398a,dataops,aks-nodepool1-43898913-vmss000013,SUCCESS,85.03,31.54,0,order-processor:v3.7.1,2026-06-09T15:22:00
billing-worker-92bdfb,security,aks-nodepool1-83743961-vmss000009,SUCCESS,39.01,79.6,1,billing-worker:v4.0.2,2026-06-22T04:51:00
inventory-sync-f66534,payments,aks-nodepool1-48357559-vmss000003,SUCCESS,33.87,49.08,1,inventory-sync:v3.2.2,2026-06-04T01:16:00
fraud-detector-227345,logging,aks-nodepool1-48627762-vmss000001,SUCCESS,59.74,51.22,3,fraud-detector:v4.17.9,2026-07-18T11:21:00
payment-gateway-1d4a6c,analytics,aks-nodepool1-49968287-vmss000008,CANCELLED,62.49,61.71,3,payment-gateway:v2.11.1,2026-07-23T23:26:00
analytics-aggregator-7a4829,ingress-nginx,aks-nodepool1-82588396-vmss000006,SUCCESS,45.95,24.26,1,analytics-aggregator:v4.17.6,2026-06-21T04:21:00
reporting-service-63a11b,payments,aks-nodepool1-43056794-vmss000016,SUCCESS,18.57,39.6,0,reporting-service:v1.14.0,2026-06-01T06:41:00
notification-service-8c6af8,security,aks-nodepool1-96147474-vmss000005,FAILED,55.87,51.87,1,notification-service:v2.4.9,2026-07-23T03:19:00
auth-service-9db7c4,ingress-nginx,aks-nodepool1-48627762-vmss000001,SUCCESS,31.76,40.63,2,auth-service:v1.0.8,2026-06-09T09:59:00
auth-service-a092d,billing,aks-nodepool1-48627762-vmss000001,RUNNING,51.24,36.21,3,auth-service:v1.0.8,2026-07-26T16:08:00
fraud-detector-7a089a,billing,aks-nodepool1-85585651-vmss000007,SUCCESS,41.62,46.08,3,fraud-detector:v4.17.9,2026-07-26T13:05:00
auth-service-ff10fe,dataops,aks-nodepool1-17496968-vmss000023,SUCCESS,21.48,64.24,0,auth-service:v1.0.8,2026-06-04T21:33:00
recommendation-engine-a48a25,dataops,aks-nodepool1-45299337-vmss000015,SUCCESS,22.02,83.32,1,recommendation-engine:v2.2.6,2026-07-10T17:27:00
analytics-aggregator-fb1e6b,billing,aks-nodepool1-88032392-vmss000021,SUCCESS,52.58,63.22,3,analytics-aggregator:v4.17.6,2026-07-22T08:20:00
billing-worker-31c3bb,security,aks-nodepool1-82588396-vmss000006,FAILED,46.52,72.27,1,billing-worker:v4.0.2,2026-07-03T03:47:00
notification-service-7ae95c,billing,aks-nodepool1-17496968-vmss000023,SUCCESS,77.28,65.88,3,notification-service:v2.4.9,2026-07-23T01:35:00
inventory-sync-442526,fraud-detection,aks-nodepool1-43056794-vmss000016,SUCCESS,59.89,80.8,0,inventory-sync:v3.2.2,2026-06-26T20:35:00
inventory-sync-c42986,dataops,aks-nodepool1-83743961-vmss000009,SUCCESS,61.76,68.28,3,inventory-sync:v3.2.2,2026-06-22T08:48:00
payment-gateway-5a95b5,monitoring,aks-nodepool1-48627762-vmss000001,FAILED,47.89,1.0,1,payment-gateway:v2.11.1,2026-07-03T14:50:00
fraud-detector-e43a60,security,aks-nodepool1-15271068-vmss000022,RUNNING,1.0,65.52,3,fraud-detector:v4.17.9,2026-06-12T15:55:00
billing-worker-61322d,customer-360,aks-nodepool1-15271068-vmss000022,SUCCESS,42.07,50.46,2,billing-worker:v4.0.2,2026-06-27T09:02:00
fraud-detector-4a8860,security,aks-nodepool1-48357559-vmss000003,SUCCESS,46.19,60.93,3,fraud-detector:v4.17.9,2026-06-25T12:33:00
auth-service-99d397,dataops,aks-nodepool1-17496968-vmss000023,SUCCESS,57.66,57.42,1,auth-service:v1.0.8,2026-06-04T18:24:00
order-processor-d21a5e,payments,aks-nodepool1-83743961-vmss000009,SUCCESS,61.26,41.5,0,order-processor:v3.7.1,2026-06-27T17:15:00
auth-service-6a9801,analytics,aks-nodepool1-88032392-vmss000021,SUCCESS,23.13,71.61,1,auth-service:v1.0.8,2026-06-14T03:15:00
payment-gateway-d65585,payments,aks-nodepool1-96011206-vmss000010,SUCCESS,75.51,65.3,2,payment-gateway:v2.11.1,2026-07-12T00:15:00
payment-gateway-844f78,logging,aks-nodepool1-82588396-vmss000006,SUCCESS,83.29,49.49,0,payment-gateway:v2.11.1,2026-06-18T21:26:00
fraud-detector-d7e879,security,aks-nodepool1-82588396-vmss000006,QUEUED,76.01,38.48,1,fraud-detector:v4.17.9,2026-06-14T14:13:00
reporting-service-fbe46e,billing,aks-nodepool1-49968287-vmss000008,SUCCESS,33.91,32.67,0,reporting-service:v1.14.0,2026-06-29T06:47:00
recommendation-engine-9828e6,fraud-detection,aks-nodepool1-96011206-vmss000010,CANCELLED,14.62,58.77,0,recommendation-engine:v2.2.6,2026-06-10T17:27:00
payment-gateway-f6479f,security,aks-nodepool1-43056794-vmss000016,SUCCESS,64.33,80.8,3,payment-gateway:v2.11.1,2026-06-23T10:17:00
analytics-aggregator-809c72,security,aks-nodepool1-17496968-vmss000023,QUEUED,68.78,32.15,1,analytics-aggregator:v4.17.6,2026-06-15T03:22:00
auth-service-51ab7c,ingress-nginx,aks-nodepool1-96147474-vmss000005,SUCCESS,52.14,50.58,1,auth-service:v1.0.8,2026-07-12T03:12:00
inventory-sync-226d65,ingress-nginx,aks-nodepool1-43898913-vmss000013,RUNNING,48.71,56.59,2,inventory-sync:v3.2.2,2026-06-14T01:31:00
recommendation-engine-6bf957,logging,aks-nodepool1-47631053-vmss000002,SUCCESS,34.83,61.65,1,recommendation-engine:v2.2.6,2026-07-16T18:53:00
notification-service-ebc6fe,fraud-detection,aks-nodepool1-49968287-vmss000008,SUCCESS,32.87,71.79,2,notification-service:v2.4.9,2026-07-26T01:51:00
recommendation-engine-2dbfd0,analytics,aks-nodepool1-15670390-vmss000004,FAILED,50.18,66.82,1,recommendation-engine:v2.2.6,2026-07-14T19:16:00
billing-worker-2711a,customer-360,aks-nodepool1-85585651-vmss000007,SUCCESS,34.23,33.42,2,billing-worker:v4.0.2,2026-07-23T10:12:00
inventory-sync-3bcfa3,monitoring,aks-nodepool1-43898913-vmss000013,SUCCESS,39.89,37.62,0,inventory-sync:v3.2.2,2026-06-27T06:28:00
