topic_name,consumer_group,partition,offset,lag,broker_id,throughput_msg_sec,status,timestamp
procurement.purchase_orders,recommendation-engine-consumer,0,6519662,1155,BRO0007,398,RUNNING,2026-06-05T12:23:00
logistics.fleet.telemetry,warehouse-ops-consumer,8,17663401,1503,BRO0011,3342,SUCCESS,2026-07-23T14:58:00
asset.maintenance.alerts,compliance-monitor,21,5458613,23189,BRO0001,1438,SUCCESS,2026-07-23T08:58:00
quality.inspection.results,recommendation-engine-consumer,16,19153636,478,BRO0009,1051,SUCCESS,2026-06-06T02:45:00
procurement.purchase_orders,payments-reconciler,3,2810380,38,BRO0011,452,SUCCESS,2026-07-04T20:57:00
customer.profile.updates,loyalty-points-processor,1,31441289,751,BRO0009,6543,SUCCESS,2026-06-22T02:20:00
loyalty.points.accrued,customer-360-builder,13,5094646,31310,BRO0003,820,SUCCESS,2026-07-13T11:15:00
security.auth.events,compliance-monitor,17,17187422,11228,BRO0005,1984,SUCCESS,2026-07-05T12:54:00
customer.support.tickets,warehouse-ops-consumer,20,8932725,1510,BRO0005,544,SUCCESS,2026-07-04T11:17:00
claims.submitted.events,fraud-detection-group,12,48179037,3568,BRO0006,3880,SUCCESS,2026-06-28T05:31:00
shipping.tracking.updates,churn-model-feeder,0,44359827,1146,BRO0008,1752,RUNNING,2026-06-07T08:29:00
returns.processed.events,pricing-engine-consumer,21,34861157,798,BRO0001,3405,SUCCESS,2026-07-16T04:36:00
security.auth.events,audit-log-collector,8,36364370,1412,BRO0008,2719,SUCCESS,2026-07-21T13:31:00
energy.consumption.readings,compliance-monitor,4,12478723,1303,BRO0009,965,QUEUED,2026-06-12T02:52:00
inventory.stock.changes,logistics-telemetry-consumer,13,46890834,328,BRO0008,427,SUCCESS,2026-06-27T13:44:00
security.auth.events,analytics-aggregator,5,26663497,959,BRO0007,1191,SUCCESS,2026-06-04T13:09:00
order.cancellations,hr-data-sync,5,29999897,98,BRO0002,554,CANCELLED,2026-06-25T22:26:00
order.cancellations,warehouse-ops-consumer,10,35403937,405,BRO0012,746,QUEUED,2026-06-08T05:04:00
hr.employee.changes,recommendation-engine-consumer,4,6812538,1242,BRO0012,7119,SUCCESS,2026-06-24T09:13:00
security.auth.events,loyalty-points-processor,23,46608368,21,BRO0007,3117,SUCCESS,2026-07-25T21:04:00
billing.transactions.raw,inventory-sync-consumer,7,39530233,473,BRO0001,1615,SUCCESS,2026-06-09T02:10:00
sla.breach.alerts,analytics-aggregator,14,30640172,374,BRO0006,2358,SUCCESS,2026-06-08T13:38:00
logistics.fleet.telemetry,logistics-telemetry-consumer,7,14842196,676,BRO0009,3052,SUCCESS,2026-07-11T04:35:00
inventory.stock.changes,logistics-telemetry-consumer,19,20541116,83,BRO0012,1480,SUCCESS,2026-06-13T21:17:00
loyalty.points.accrued,loyalty-points-processor,11,11044193,1287,BRO0001,1095,SUCCESS,2026-06-01T07:23:00
audit.access.logs,audit-log-collector,4,31653009,421,BRO0005,1342,SUCCESS,2026-06-22T11:48:00
billing.transactions.raw,pricing-engine-consumer,22,38348084,1206,BRO0003,1996,QUEUED,2026-06-11T02:37:00
pricing.updates.stream,inventory-sync-consumer,18,45499816,459,BRO0007,10985,RUNNING,2026-07-06T12:49:00
hr.employee.changes,claims-processing-group,12,45691407,1344,BRO0004,342,SUCCESS,2026-07-02T12:13:00
asset.maintenance.alerts,inventory-sync-consumer,10,20901663,622,BRO0007,1268,SUCCESS,2026-07-15T13:53:00
order.cancellations,pricing-engine-consumer,5,14800155,13,BRO0008,670,SUCCESS,2026-07-05T12:30:00
payments.transactions.completed,logistics-telemetry-consumer,21,19892179,1007,BRO0008,15687,SUCCESS,2026-06-05T11:35:00
sales.leads.captured,warehouse-ops-consumer,2,6601613,1248,BRO0011,682,SUCCESS,2026-06-04T09:37:00
supply_chain.shipments.updates,compliance-monitor,3,22725231,662,BRO0001,4714,QUEUED,2026-07-24T01:55:00
sla.breach.alerts,supply-chain-tracker,16,40763441,348,BRO0003,2352,SUCCESS,2026-07-13T00:52:00
sales.leads.captured,order-processing-service,18,20527935,408,BRO0011,2063,SUCCESS,2026-07-14T11:29:00
security.auth.events,marketing-attribution-consumer,21,44658569,296,BRO0006,3860,SUCCESS,2026-07-17T11:26:00
churn.risk.updates,logistics-telemetry-consumer,10,2871911,308,BRO0006,1917,SUCCESS,2026-06-19T07:04:00
payments.transactions.completed,reporting-etl-consumer,7,49991648,340,BRO0010,883,CANCELLED,2026-07-01T04:52:00
claims.submitted.events,recommendation-engine-consumer,13,8858431,1716,BRO0004,9451,SUCCESS,2026-06-11T19:00:00
finance.gl.postings,asset-maintenance-consumer,6,27835520,715,BRO0004,348,SUCCESS,2026-06-01T02:49:00
dispute.resolution.updates,logistics-telemetry-consumer,10,3787406,660,BRO0003,164,FAILED,2026-07-04T23:15:00
churn.risk.updates,quality-control-consumer,9,16448940,156,BRO0005,530,SUCCESS,2026-06-13T18:36:00
asset.maintenance.alerts,logistics-telemetry-consumer,3,48172343,128,BRO0009,2617,SUCCESS,2026-07-04T21:31:00
supply_chain.shipments.updates,sla-monitor-consumer,9,47169427,1466,BRO0008,595,SUCCESS,2026-07-21T19:49:00
inventory.stock.changes,billing-pipeline-consumer,17,17953488,51036,BRO0005,1365,RUNNING,2026-06-16T05:53:00
pricing.updates.stream,recommendation-engine-consumer,9,36252866,2629,BRO0010,3379,FAILED,2026-06-15T12:02:00
hr.employee.changes,payments-reconciler,4,47858614,86,BRO0005,2600,SUCCESS,2026-06-10T15:43:00
marketing.campaign.events,warehouse-ops-consumer,8,46937229,484,BRO0009,1933,SUCCESS,2026-06-19T22:17:00
claims.submitted.events,logistics-telemetry-consumer,15,18879698,1179,BRO0001,4122,SUCCESS,2026-07-14T16:30:00
security.auth.events,asset-maintenance-consumer,4,24333346,343,BRO0011,1313,SUCCESS,2026-07-08T18:36:00
audit.access.logs,payments-reconciler,7,22024092,731,BRO0008,4019,SUCCESS,2026-07-09T08:12:00
returns.processed.events,supply-chain-tracker,16,17193109,664,BRO0002,1572,SUCCESS,2026-06-03T09:00:00
refund.processing.events,warehouse-ops-consumer,9,33369684,42408,BRO0001,6506,SUCCESS,2026-07-16T14:43:00
shipping.tracking.updates,warehouse-ops-consumer,3,46868138,1777,BRO0002,4144,SUCCESS,2026-07-13T05:09:00
shipping.tracking.updates,fraud-detection-group,2,5766759,28002,BRO0003,1394,SUCCESS,2026-06-13T12:22:00
hr.employee.changes,billing-pipeline-consumer,17,33282994,2190,BRO0007,4520,SUCCESS,2026-07-05T01:10:00
hr.employee.changes,fraud-detection-group,2,29325759,1224,BRO0005,3503,RUNNING,2026-07-12T05:20:00
fraud.alerts.stream,asset-maintenance-consumer,7,45344857,514,BRO0011,3245,SUCCESS,2026-06-04T01:35:00
dispute.resolution.updates,analytics-aggregator,4,21278275,37147,BRO0005,1914,SUCCESS,2026-06-05T06:03:00
finance.gl.postings,notification-dispatcher,8,24438174,367,BRO0006,380,SUCCESS,2026-06-13T14:34:00
underwriting.decisions,logistics-telemetry-consumer,12,2866062,1257,BRO0004,767,SUCCESS,2026-06-01T10:02:00
billing.transactions.raw,recommendation-engine-consumer,23,47160324,1027,BRO0009,3564,FAILED,2026-07-05T21:30:00
compliance.kyc.checks,loyalty-points-processor,0,49507506,165,BRO0007,5331,SUCCESS,2026-06-11T05:27:00
returns.processed.events,billing-pipeline-consumer,15,29977074,766,BRO0003,252,SUCCESS,2026-07-03T21:34:00
churn.risk.updates,order-processing-service,7,19669233,136,BRO0009,495,RUNNING,2026-07-15T13:49:00
asset.maintenance.alerts,asset-maintenance-consumer,1,17849879,1105,BRO0009,144,RUNNING,2026-06-16T02:18:00
order.cancellations,billing-pipeline-consumer,3,30287829,1652,BRO0007,311,CANCELLED,2026-07-01T18:48:00
shipping.tracking.updates,pricing-engine-consumer,8,37143670,1454,BRO0002,2540,SUCCESS,2026-07-07T13:37:00
dispute.resolution.updates,audit-log-collector,10,5704945,1004,BRO0004,674,FAILED,2026-07-06T03:38:00
payments.transactions.completed,order-processing-service,6,47991146,125,BRO0007,2246,SUCCESS,2026-06-15T19:30:00
logistics.fleet.telemetry,audit-log-collector,8,13701217,613,BRO0009,6161,SUCCESS,2026-07-04T18:33:00
warehouse.pick_pack.events,pricing-engine-consumer,19,39756975,1417,BRO0012,200,SUCCESS,2026-06-14T03:33:00
inventory.stock.changes,audit-log-collector,8,9685266,417,BRO0012,1507,SUCCESS,2026-07-07T05:52:00
pricing.updates.stream,supply-chain-tracker,20,38439744,12541,BRO0012,1870,SUCCESS,2026-06-17T06:26:00
underwriting.decisions,quality-control-consumer,6,42592306,11,BRO0001,2148,SUCCESS,2026-06-19T09:43:00
pricing.updates.stream,security-event-processor,16,40946433,99,BRO0006,4100,QUEUED,2026-07-25T11:48:00
subscription.renewals,customer-360-builder,10,28507302,1130,BRO0003,4708,RUNNING,2026-07-12T01:46:00
supply_chain.shipments.updates,churn-model-feeder,8,26216402,1576,BRO0009,2515,SUCCESS,2026-06-08T23:27:00
churn.risk.updates,quality-control-consumer,10,44960843,559,BRO0006,487,SUCCESS,2026-06-01T20:03:00
marketing.campaign.events,reporting-etl-consumer,17,8623345,189,BRO0005,4765,CANCELLED,2026-06-06T09:02:00
customer.support.tickets,asset-maintenance-consumer,3,30573906,1558,BRO0011,13836,SUCCESS,2026-06-22T12:01:00
claims.submitted.events,customer-360-builder,19,38391558,358,BRO0001,419,SUCCESS,2026-07-21T20:48:00
billing.transactions.raw,billing-pipeline-consumer,9,21692910,633,BRO0001,1224,FAILED,2026-06-04T02:46:00
security.auth.events,customer-360-builder,0,40051692,2000,BRO0001,2033,FAILED,2026-06-07T11:31:00
compliance.kyc.checks,quality-control-consumer,19,42992017,2687,BRO0012,934,SUCCESS,2026-06-08T04:07:00
marketing.campaign.events,hr-data-sync,23,1113472,1990,BRO0008,1796,SUCCESS,2026-06-15T22:14:00
pricing.updates.stream,inventory-sync-consumer,15,17549376,178,BRO0006,1914,SUCCESS,2026-07-22T13:27:00
underwriting.decisions,order-processing-service,14,25656518,17578,BRO0009,4676,QUEUED,2026-06-19T00:02:00
shipping.tracking.updates,marketing-attribution-consumer,6,48994701,281,BRO0009,965,SUCCESS,2026-07-05T08:16:00
inventory.stock.changes,security-event-processor,6,37656524,139,BRO0006,1184,SUCCESS,2026-06-01T17:34:00
marketing.campaign.events,audit-log-collector,23,15405984,38912,BRO0007,11288,SUCCESS,2026-07-16T01:58:00
warehouse.pick_pack.events,asset-maintenance-consumer,20,326655,985,BRO0006,4529,SUCCESS,2026-07-02T19:49:00
supply_chain.shipments.updates,quality-control-consumer,11,45943462,23,BRO0006,848,SUCCESS,2026-07-05T12:36:00
compliance.kyc.checks,order-processing-service,16,39717110,56,BRO0010,373,SUCCESS,2026-07-25T10:24:00
billing.transactions.raw,churn-model-feeder,17,37728762,1058,BRO0001,1307,SUCCESS,2026-07-03T14:20:00
subscription.renewals,hr-data-sync,19,22837428,775,BRO0005,2468,SUCCESS,2026-06-05T02:03:00
pricing.updates.stream,security-event-processor,15,41120609,2052,BRO0011,1064,RUNNING,2026-07-16T07:30:00
marketing.campaign.events,logistics-telemetry-consumer,19,37346058,1916,BRO0001,306,SUCCESS,2026-07-02T07:31:00
order.cancellations,analytics-aggregator,6,24500577,959,BRO0004,349,SUCCESS,2026-07-06T12:27:00
subscription.renewals,claims-processing-group,16,41309880,776,BRO0005,638,RUNNING,2026-06-03T13:40:00
fraud.alerts.stream,pricing-engine-consumer,10,13364522,267,BRO0002,1332,SUCCESS,2026-06-30T02:06:00
dispute.resolution.updates,audit-log-collector,6,23224629,66,BRO0010,1762,RUNNING,2026-07-21T14:20:00
recommendation.engine.scores,asset-maintenance-consumer,21,47944034,1146,BRO0011,4423,SUCCESS,2026-07-02T17:20:00
logistics.fleet.telemetry,security-event-processor,6,1868417,614,BRO0009,589,SUCCESS,2026-06-24T14:20:00
underwriting.decisions,inventory-sync-consumer,15,29973356,920,BRO0006,512,SUCCESS,2026-07-03T10:16:00
payments.transactions.completed,compliance-monitor,15,193800,11,BRO0002,190,SUCCESS,2026-06-03T05:36:00
sla.breach.alerts,order-processing-service,9,19267412,389,BRO0003,410,SUCCESS,2026-06-20T11:53:00
asset.maintenance.alerts,audit-log-collector,22,35252964,1062,BRO0001,945,SUCCESS,2026-07-19T17:02:00
claims.submitted.events,inventory-sync-consumer,16,29978831,726,BRO0010,887,SUCCESS,2026-07-09T01:28:00
shipping.tracking.updates,recommendation-engine-consumer,10,12381557,667,BRO0002,984,SUCCESS,2026-06-16T21:13:00
logistics.fleet.telemetry,compliance-monitor,21,42356689,1104,BRO0004,1511,FAILED,2026-06-24T04:35:00
supply_chain.shipments.updates,order-processing-service,18,38470034,1610,BRO0007,801,SUCCESS,2026-06-04T20:16:00
finance.gl.postings,marketing-attribution-consumer,9,16053758,138,BRO0011,252,CANCELLED,2026-07-08T07:22:00
billing.transactions.raw,analytics-aggregator,11,3108883,163,BRO0006,1487,SUCCESS,2026-07-16T00:29:00
campaign.performance.metrics,claims-processing-group,7,35052701,448,BRO0006,1764,QUEUED,2026-06-28T15:09:00
churn.risk.updates,compliance-monitor,1,42482265,37,BRO0003,505,SUCCESS,2026-07-07T00:54:00
finance.gl.postings,billing-pipeline-consumer,0,32229963,1265,BRO0004,42896,QUEUED,2026-07-13T15:50:00
orders.events.processed,recommendation-engine-consumer,22,19362034,636,BRO0009,77,SUCCESS,2026-07-16T06:47:00
sales.leads.captured,asset-maintenance-consumer,11,6376854,656,BRO0006,225,FAILED,2026-07-10T12:05:00
loyalty.points.accrued,supply-chain-tracker,23,21005244,324,BRO0008,630,SUCCESS,2026-07-10T19:21:00
inventory.stock.changes,fraud-detection-group,14,30714764,74,BRO0009,628,SUCCESS,2026-06-03T05:57:00
underwriting.decisions,billing-pipeline-consumer,1,12147573,817,BRO0005,428,CANCELLED,2026-06-19T15:27:00
vendor.onboarding.events,churn-model-feeder,20,30080436,1024,BRO0007,1527,FAILED,2026-07-15T13:58:00
customer.profile.updates,logistics-telemetry-consumer,21,9645518,46187,BRO0010,4025,SUCCESS,2026-07-15T12:38:00
audit.access.logs,logistics-telemetry-consumer,0,40425490,87,BRO0007,2135,SUCCESS,2026-07-22T02:39:00
vendor.onboarding.events,supply-chain-tracker,8,4533020,65,BRO0008,1495,SUCCESS,2026-06-18T00:08:00
marketing.campaign.events,supply-chain-tracker,20,2843729,2558,BRO0001,6598,SUCCESS,2026-06-19T20:50:00
marketing.campaign.events,payments-reconciler,10,39017376,3084,BRO0002,224,SUCCESS,2026-07-26T09:10:00
sales.leads.captured,supply-chain-tracker,10,40563850,1762,BRO0008,954,SUCCESS,2026-07-12T18:38:00
marketing.campaign.events,warehouse-ops-consumer,2,34411394,1192,BRO0011,1275,SUCCESS,2026-06-03T03:15:00
customer.support.tickets,compliance-monitor,10,3939802,608,BRO0012,820,QUEUED,2026-07-19T04:21:00
recommendation.engine.scores,churn-model-feeder,4,36091149,184,BRO0006,1009,RUNNING,2026-06-19T01:03:00
refund.processing.events,analytics-aggregator,20,39437728,257,BRO0007,921,SUCCESS,2026-06-29T10:21:00
inventory.stock.changes,notification-dispatcher,13,30479518,1356,BRO0006,573,SUCCESS,2026-07-14T07:16:00
dispute.resolution.updates,notification-dispatcher,9,33749932,749,BRO0002,317,SUCCESS,2026-06-08T08:35:00
dispute.resolution.updates,quality-control-consumer,18,7175053,245,BRO0003,354,FAILED,2026-07-07T21:37:00
vendor.onboarding.events,notification-dispatcher,0,32303544,352,BRO0008,815,RUNNING,2026-07-12T16:37:00
payments.transactions.completed,marketing-attribution-consumer,9,1263092,524,BRO0001,1801,SUCCESS,2026-07-08T04:33:00
claims.submitted.events,recommendation-engine-consumer,4,11486261,3036,BRO0003,2015,SUCCESS,2026-07-18T19:18:00
sales.leads.captured,recommendation-engine-consumer,11,46115831,932,BRO0008,2574,SUCCESS,2026-07-27T03:51:00
underwriting.decisions,billing-pipeline-consumer,5,40128881,49,BRO0003,79,SUCCESS,2026-06-18T18:10:00
shipping.tracking.updates,asset-maintenance-consumer,13,39926219,2422,BRO0010,415,SUCCESS,2026-06-09T14:23:00
returns.processed.events,recommendation-engine-consumer,22,46020794,487,BRO0006,311,SUCCESS,2026-06-13T10:58:00
billing.transactions.raw,fraud-detection-group,23,17434413,1100,BRO0012,1112,SUCCESS,2026-06-28T19:22:00
fraud.alerts.stream,marketing-attribution-consumer,16,6596099,1334,BRO0002,1132,SUCCESS,2026-07-14T16:46:00
fraud.alerts.stream,order-processing-service,18,40079094,428,BRO0010,711,SUCCESS,2026-07-03T14:30:00
payments.transactions.completed,quality-control-consumer,19,2523591,2445,BRO0010,3302,SUCCESS,2026-06-30T10:06:00
returns.processed.events,loyalty-points-processor,20,2642159,97,BRO0006,662,SUCCESS,2026-07-21T23:21:00
inventory.stock.changes,security-event-processor,4,33656508,672,BRO0011,1272,SUCCESS,2026-06-01T20:32:00
billing.transactions.raw,quality-control-consumer,1,12864339,173,BRO0003,2001,SUCCESS,2026-07-19T18:55:00
churn.risk.updates,notification-dispatcher,6,31908321,427,BRO0004,1859,FAILED,2026-06-12T03:37:00
sales.leads.captured,warehouse-ops-consumer,23,36045571,131,BRO0009,780,SUCCESS,2026-07-19T09:06:00
logistics.fleet.telemetry,audit-log-collector,6,41779508,12504,BRO0009,4997,SUCCESS,2026-06-13T09:19:00
order.cancellations,billing-pipeline-consumer,0,28354670,1646,BRO0011,2427,SUCCESS,2026-07-15T01:23:00
hr.employee.changes,claims-processing-group,17,48404591,79,BRO0012,3188,SUCCESS,2026-07-04T03:38:00
procurement.purchase_orders,analytics-aggregator,2,37367871,18,BRO0008,1438,FAILED,2026-06-29T15:31:00
loyalty.points.accrued,sla-monitor-consumer,20,7284112,960,BRO0006,1382,SUCCESS,2026-07-02T20:44:00
compliance.kyc.checks,security-event-processor,13,10603518,1263,BRO0005,474,SUCCESS,2026-07-15T10:08:00
underwriting.decisions,recommendation-engine-consumer,22,34484952,299,BRO0011,134,RUNNING,2026-06-30T11:19:00
logistics.fleet.telemetry,compliance-monitor,12,46436992,131,BRO0008,319,FAILED,2026-06-01T07:44:00
warehouse.pick_pack.events,marketing-attribution-consumer,21,41675322,341,BRO0003,199,SUCCESS,2026-06-20T10:33:00
recommendation.engine.scores,audit-log-collector,15,29359034,1609,BRO0012,1059,SUCCESS,2026-07-07T17:09:00
sla.breach.alerts,analytics-aggregator,19,45890335,746,BRO0006,224,SUCCESS,2026-06-23T08:47:00
sales.leads.captured,hr-data-sync,6,2187412,399,BRO0005,624,QUEUED,2026-06-07T01:39:00
finance.gl.postings,reporting-etl-consumer,15,12028382,522,BRO0005,393,FAILED,2026-06-29T12:32:00
asset.maintenance.alerts,pricing-engine-consumer,3,1381970,168,BRO0004,1101,SUCCESS,2026-06-05T18:16:00
quality.inspection.results,hr-data-sync,22,33588199,713,BRO0007,894,SUCCESS,2026-07-03T10:10:00
shipping.tracking.updates,pricing-engine-consumer,16,29211985,1769,BRO0001,4989,RUNNING,2026-07-03T05:44:00
sla.breach.alerts,supply-chain-tracker,3,33444442,39661,BRO0002,2969,RUNNING,2026-07-03T04:57:00
subscription.renewals,asset-maintenance-consumer,15,12819672,377,BRO0008,6052,CANCELLED,2026-07-14T12:59:00
supply_chain.shipments.updates,marketing-attribution-consumer,21,34535789,214,BRO0008,1232,SUCCESS,2026-07-11T18:43:00
orders.events.processed,customer-360-builder,18,2231440,2129,BRO0007,156,SUCCESS,2026-07-03T15:07:00
audit.access.logs,churn-model-feeder,22,32655311,710,BRO0007,3260,SUCCESS,2026-07-27T16:01:00
asset.maintenance.alerts,customer-360-builder,21,30342610,29,BRO0001,9369,SUCCESS,2026-07-14T08:30:00
fraud.alerts.stream,hr-data-sync,16,43953442,973,BRO0004,714,SUCCESS,2026-07-13T16:22:00
customer.profile.updates,hr-data-sync,0,8435912,3223,BRO0007,5291,SUCCESS,2026-06-30T23:28:00
payments.transactions.completed,analytics-aggregator,21,48057686,186,BRO0007,923,SUCCESS,2026-06-28T23:03:00
payments.transactions.completed,sla-monitor-consumer,12,40587135,662,BRO0012,1264,CANCELLED,2026-07-11T11:07:00
fraud.alerts.stream,asset-maintenance-consumer,7,18462842,618,BRO0005,976,SUCCESS,2026-07-26T16:32:00
energy.consumption.readings,warehouse-ops-consumer,12,35354422,837,BRO0007,572,SUCCESS,2026-07-09T17:38:00
vendor.onboarding.events,marketing-attribution-consumer,11,48647173,389,BRO0010,670,SUCCESS,2026-06-08T03:08:00
security.auth.events,payments-reconciler,6,30590154,529,BRO0011,164,FAILED,2026-07-16T09:18:00
customer.support.tickets,reporting-etl-consumer,23,43502043,932,BRO0003,1326,QUEUED,2026-07-25T07:15:00
asset.maintenance.alerts,order-processing-service,1,49048544,408,BRO0010,1287,SUCCESS,2026-06-18T10:31:00
finance.gl.postings,analytics-aggregator,4,36075086,65,BRO0003,2419,SUCCESS,2026-06-29T13:14:00
energy.consumption.readings,loyalty-points-processor,23,34573010,566,BRO0003,1050,SUCCESS,2026-07-20T19:03:00
vendor.onboarding.events,analytics-aggregator,18,10850431,789,BRO0009,1757,SUCCESS,2026-06-28T13:16:00
warehouse.pick_pack.events,pricing-engine-consumer,8,36327070,500,BRO0011,12948,QUEUED,2026-06-13T16:08:00
procurement.purchase_orders,analytics-aggregator,7,15970501,191,BRO0007,3321,SUCCESS,2026-07-19T09:32:00
