run_id,dag_id,dag_name,task_id,state,duration_seconds,owner,schedule,execution_date,try_number,queue,executor,priority_weight
RUN000034,DAG0053,campaign_performance_etl,TASK0229,SUCCESS,301,Grace Park,Daily,2026-06-15T14:05:00,1,default,CeleryExecutor,13
RUN000035,DAG0068,customer_sync,TASK0297,SUCCESS,166,Lucas Silva,Monthly,2026-06-26T09:32:00,0,default,CeleryExecutor,14
RUN000036,DAG0109,asset_management_sync,TASK0483,QUEUED,2091,Hannah Schmidt,Daily,2026-07-04T16:20:00,0,analytics,KubernetesExecutor,71
RUN000037,DAG0014,audit_etl,TASK0063,FAILED,210,Mark Thompson,Monthly,2026-06-26T15:27:00,2,default,CeleryExecutor,23
RUN000038,DAG0091,data_quality_sync,TASK0405,SUCCESS,923,Yuki Tanaka,Daily,2026-07-05T10:38:00,1,default,LocalExecutor,7
RUN000039,DAG0033,claims_processing_etl,TASK0148,SUCCESS,309,Andrew Campbell,Daily,2026-06-22T13:54:00,0,high_priority,KubernetesExecutor,47
RUN000040,DAG0016,vendor_management_etl,TASK0071,RUNNING,225,Lucas Silva,Monthly,2026-07-07T20:53:00,0,high_priority,LocalExecutor,90
RUN000041,DAG0130,employee_engagement_sync,TASK0574,SUCCESS,168,Samuel Okafor,Daily,2026-06-02T13:24:00,1,default,CeleryExecutor,5
RUN000042,DAG0062,sustainability_reporting_etl,TASK0272,SUCCESS,364,Daniel Osei,Hourly,2026-07-22T22:43:00,1,high_priority,KubernetesExecutor,18
RUN000043,DAG0130,employee_engagement_sync,TASK0576,SUCCESS,159,Samuel Okafor,Daily,2026-07-01T13:11:00,0,default,LocalExecutor,10
RUN000044,DAG0143,procurement_pipeline,TASK0636,SUCCESS,253,Elena Popescu,Daily,2026-06-09T13:28:00,1,high_priority,CeleryExecutor,18
RUN000045,DAG0009,procurement_etl,TASK0042,RUNNING,193,Aisha Khan,Hourly,2026-07-17T11:30:00,0,default,KubernetesExecutor,77
RUN000046,DAG0093,pricing_sync,TASK0412,RUNNING,610,Hannah Schmidt,Hourly,2026-06-22T04:03:00,3,default,CeleryExecutor,25
RUN000047,DAG0020,security_monitoring_etl,TASK0095,RUNNING,648,Kenji Watanabe,Daily,2026-07-20T21:49:00,0,high_priority,KubernetesExecutor,35
RUN000048,DAG0132,expense_reporting_sync,TASK0583,SUCCESS,256,Michael O'Brien,Daily,2026-06-17T05:21:00,1,etl,CeleryExecutor,89
RUN000049,DAG0074,hr_workflow_sync,TASK0317,SUCCESS,511,Laura Kowalski,Hourly,2026-07-21T21:59:00,3,default,CeleryExecutor,31
RUN000050,DAG0091,data_quality_sync,TASK0403,SUCCESS,198,Yuki Tanaka,Daily,2026-06-01T22:57:00,1,default,KubernetesExecutor,57
RUN000051,DAG0066,travel_booking_etl,TASK0287,QUEUED,1548,Mark Thompson,Hourly,2026-06-25T16:16:00,1,etl,CeleryExecutor,30
RUN000052,DAG0048,customer_onboarding_etl,TASK0207,RUNNING,201,Jennifer Walsh,Hourly,2026-06-11T08:21:00,0,default,KubernetesExecutor,8
RUN000053,DAG0024,data_quality_etl,TASK0108,SUCCESS,158,Priya Sharma,Daily,2026-06-25T20:44:00,2,default,CeleryExecutor,65
RUN000054,DAG0110,fleet_tracking_sync,TASK0484,FAILED,286,Laura Kowalski,Daily,2026-06-23T11:54:00,0,default,CeleryExecutor,73
RUN000055,DAG0121,lead_scoring_sync,TASK0535,RUNNING,602,Vikram Patel,Daily,2026-07-27T06:36:00,0,default,CeleryExecutor,41
RUN000056,DAG0107,cost_allocation_sync,TASK0471,SUCCESS,319,Samuel Okafor,Daily,2026-06-23T10:02:00,0,default,KubernetesExecutor,39
RUN000057,DAG0060,sla_monitoring_etl,TASK0262,SUCCESS,475,Sofia Rossi,Daily,2026-07-14T04:04:00,0,etl,KubernetesExecutor,80
RUN000058,DAG0139,inventory_pipeline,TASK0616,CANCELLED,1726,Vikram Patel,Daily,2026-07-06T03:40:00,4,default,CeleryExecutor,88
RUN000059,DAG0085,ecommerce_sync,TASK0371,SUCCESS,190,Rajesh Kumar,On Demand,2026-06-23T02:49:00,0,analytics,KubernetesExecutor,18
RUN000060,DAG0004,fraud_detection_etl,TASK0017,SUCCESS,63,Michael O'Brien,Daily,2026-06-26T18:41:00,2,default,CeleryExecutor,18
RUN000061,DAG0105,ap_processing_sync,TASK0463,QUEUED,557,Laura Kowalski,Daily,2026-06-05T09:47:00,0,analytics,KubernetesExecutor,2
RUN000062,DAG0040,cost_allocation_etl,TASK0178,RUNNING,241,David Chen,Daily,2026-07-05T14:49:00,0,analytics,KubernetesExecutor,88
RUN000063,DAG0091,data_quality_sync,TASK0405,SUCCESS,427,Yuki Tanaka,Daily,2026-06-23T14:38:00,0,default,CeleryExecutor,29
RUN000064,DAG0055,order_processing_etl,TASK0235,SUCCESS,601,David Chen,Monthly,2026-06-13T17:08:00,2,analytics,KubernetesExecutor,10
RUN000065,DAG0097,tax_reporting_sync,TASK0427,SUCCESS,574,Grace Park,Weekly,2026-06-10T07:13:00,1,high_priority,CeleryExecutor,46
RUN000066,DAG0119,recommendation_engine_sync,TASK0527,FAILED,149,Jennifer Walsh,Monthly,2026-06-08T15:17:00,0,default,KubernetesExecutor,45
RUN000067,DAG0136,sales_pipeline,TASK0601,SUCCESS,279,Aisha Khan,Daily,2026-07-22T03:21:00,1,default,LocalExecutor,31
RUN000068,DAG0027,promotions_etl,TASK0122,SUCCESS,393,Elena Popescu,On Demand,2026-06-19T18:27:00,0,default,CeleryExecutor,73
RUN000069,DAG0060,sla_monitoring_etl,TASK0262,SUCCESS,287,Sofia Rossi,Daily,2026-07-20T18:29:00,1,default,LocalExecutor,3
RUN000070,DAG0047,supplier_onboarding_etl,TASK0204,SUCCESS,529,Hannah Schmidt,Daily,2026-06-06T11:28:00,0,high_priority,LocalExecutor,97
RUN000071,DAG0049,kyc_verification_etl,TASK0213,SUCCESS,797,Carlos Mendoza,Daily,2026-06-04T23:13:00,0,default,LocalExecutor,48
RUN000072,DAG0018,ecommerce_etl,TASK0079,SUCCESS,110,Priya Sharma,Daily,2026-06-21T20:27:00,0,etl,CeleryExecutor,35
RUN000073,DAG0150,vendor_management_pipeline,TASK0671,SUCCESS,1137,Olivia Martin,Weekly,2026-07-26T00:30:00,1,default,KubernetesExecutor,95
RUN000074,DAG0076,procurement_sync,TASK0328,QUEUED,302,Thomas Baptiste,Weekly,2026-06-27T05:31:00,1,default,CeleryExecutor,51
RUN000075,DAG0056,shipment_tracking_etl,TASK0243,SUCCESS,225,Hannah Schmidt,Monthly,2026-07-10T22:45:00,2,high_priority,KubernetesExecutor,35
RUN000076,DAG0048,customer_onboarding_etl,TASK0209,SUCCESS,842,Jennifer Walsh,Hourly,2026-07-11T23:33:00,1,default,KubernetesExecutor,45
RUN000077,DAG0070,billing_sync,TASK0305,CANCELLED,889,Zainab Ibrahim,Hourly,2026-07-06T00:18:00,3,default,KubernetesExecutor,6
RUN000078,DAG0074,hr_workflow_sync,TASK0320,SUCCESS,213,Laura Kowalski,Hourly,2026-07-20T10:04:00,0,default,KubernetesExecutor,15
RUN000079,DAG0121,lead_scoring_sync,TASK0536,SUCCESS,165,Vikram Patel,Daily,2026-06-19T13:52:00,0,high_priority,CeleryExecutor,29
RUN000080,DAG0011,logistics_etl,TASK0051,SUCCESS,147,Isaac Newton-Boyd,Weekly,2026-06-03T22:54:00,0,default,KubernetesExecutor,6
RUN000081,DAG0078,logistics_sync,TASK0339,QUEUED,3285,Rajesh Kumar,Daily,2026-06-09T12:20:00,0,default,CeleryExecutor,60
RUN000082,DAG0055,order_processing_etl,TASK0237,FAILED,206,David Chen,Monthly,2026-07-25T11:55:00,0,etl,LocalExecutor,92
RUN000083,DAG0066,travel_booking_etl,TASK0286,SUCCESS,1817,Mark Thompson,Hourly,2026-06-06T20:53:00,1,default,LocalExecutor,1
RUN000084,DAG0134,vendor_scorecard_sync,TASK0592,SUCCESS,654,Nina Petrova,On Demand,2026-07-12T01:05:00,2,high_priority,LocalExecutor,90
RUN000085,DAG0133,travel_booking_sync,TASK0587,SUCCESS,1201,Daniel Osei,On Demand,2026-06-26T14:48:00,1,default,KubernetesExecutor,78
RUN000086,DAG0140,finance_reporting_pipeline,TASK0621,QUEUED,1145,James Anderson,Hourly,2026-07-27T08:37:00,1,analytics,KubernetesExecutor,71
RUN000087,DAG0063,employee_engagement_etl,TASK0274,SUCCESS,292,Rajesh Kumar,Daily,2026-07-25T03:00:00,1,etl,KubernetesExecutor,58
RUN000088,DAG0051,churn_prediction_etl,TASK0223,RUNNING,475,Sarah Mitchell,On Demand,2026-06-07T18:29:00,0,default,CeleryExecutor,28
RUN000089,DAG0049,kyc_verification_etl,TASK0211,RUNNING,407,Carlos Mendoza,Daily,2026-06-01T17:22:00,0,default,KubernetesExecutor,8
RUN000090,DAG0019,analytics_etl,TASK0089,CANCELLED,702,Elena Popescu,Daily,2026-06-22T09:01:00,0,default,KubernetesExecutor,83
RUN000091,DAG0138,fraud_detection_pipeline,TASK0613,SUCCESS,294,Ahmed Hassan,Daily,2026-06-24T18:36:00,0,default,LocalExecutor,61
RUN000092,DAG0133,travel_booking_sync,TASK0589,SUCCESS,718,Daniel Osei,On Demand,2026-06-29T15:04:00,3,etl,CeleryExecutor,27
RUN000093,DAG0028,demand_forecasting_etl,TASK0127,SUCCESS,900,Wei Zhang,Daily,2026-06-10T21:01:00,0,default,CeleryExecutor,12
RUN000094,DAG0131,benefits_enrollment_sync,TASK0577,RUNNING,825,Priya Sharma,Weekly,2026-07-13T14:11:00,0,etl,KubernetesExecutor,49
RUN000095,DAG0104,ar_aging_sync,TASK0462,QUEUED,191,Lucas Silva,Hourly,2026-07-01T11:29:00,3,high_priority,CeleryExecutor,84
RUN000096,DAG0042,asset_management_etl,TASK0186,SUCCESS,567,Nina Petrova,Weekly,2026-06-18T17:29:00,2,etl,CeleryExecutor,81
RUN000097,DAG0017,warehouse_etl,TASK0074,SUCCESS,401,Julia Ferreira,Hourly,2026-06-07T11:49:00,2,default,KubernetesExecutor,52
RUN000098,DAG0060,sla_monitoring_etl,TASK0260,FAILED,235,Sofia Rossi,Daily,2026-06-26T15:27:00,0,etl,KubernetesExecutor,18
RUN000099,DAG0066,travel_booking_etl,TASK0286,SUCCESS,1194,Mark Thompson,Hourly,2026-07-22T13:04:00,3,high_priority,CeleryExecutor,12
RUN000100,DAG0045,quality_control_etl,TASK0197,SUCCESS,196,Benjamin Wright,Weekly,2026-06-16T17:46:00,0,etl,CeleryExecutor,94
RUN000101,DAG0099,contracts_sync,TASK0435,SUCCESS,676,Isaac Newton-Boyd,Monthly,2026-06-18T07:21:00,1,etl,CeleryExecutor,43
RUN000102,DAG0118,churn_prediction_sync,TASK0519,SUCCESS,327,Julia Ferreira,On Demand,2026-06-26T14:27:00,1,default,LocalExecutor,62
RUN000103,DAG0031,treasury_etl,TASK0140,SUCCESS,160,Isaac Newton-Boyd,Weekly,2026-07-13T13:06:00,0,default,CeleryExecutor,13
RUN000104,DAG0047,supplier_onboarding_etl,TASK0204,FAILED,366,Hannah Schmidt,Daily,2026-06-30T01:38:00,0,default,CeleryExecutor,25
RUN000105,DAG0039,gl_close_etl,TASK0174,SUCCESS,328,Carlos Mendoza,Weekly,2026-07-06T01:09:00,0,etl,CeleryExecutor,44
RUN000106,DAG0076,procurement_sync,TASK0329,QUEUED,319,Thomas Baptiste,Weekly,2026-07-03T04:56:00,2,etl,KubernetesExecutor,25
RUN000107,DAG0068,customer_sync,TASK0297,FAILED,187,Lucas Silva,Monthly,2026-06-27T15:04:00,1,default,LocalExecutor,9
RUN000108,DAG0064,benefits_enrollment_etl,TASK0279,SUCCESS,200,Maria Gonzalez,On Demand,2026-07-11T03:19:00,2,default,LocalExecutor,26
RUN000109,DAG0123,shipment_tracking_sync,TASK0544,SUCCESS,701,Carlos Mendoza,Hourly,2026-07-20T21:12:00,0,high_priority,KubernetesExecutor,85
RUN000110,DAG0114,supplier_onboarding_sync,TASK0500,SUCCESS,2497,Zainab Ibrahim,Daily,2026-06-14T18:48:00,0,analytics,KubernetesExecutor,23
RUN000111,DAG0143,procurement_pipeline,TASK0637,RUNNING,596,Elena Popescu,Daily,2026-07-11T08:08:00,1,default,LocalExecutor,75
RUN000112,DAG0033,claims_processing_etl,TASK0144,SUCCESS,227,Andrew Campbell,Daily,2026-07-06T22:30:00,0,high_priority,CeleryExecutor,38
RUN000113,DAG0064,benefits_enrollment_etl,TASK0277,SUCCESS,950,Maria Gonzalez,On Demand,2026-06-12T22:53:00,0,default,LocalExecutor,45
RUN000114,DAG0021,backup_etl,TASK0099,SUCCESS,343,Sofia Rossi,On Demand,2026-06-06T03:19:00,1,default,KubernetesExecutor,68
RUN000115,DAG0022,crm_sync_etl,TASK0103,FAILED,250,Julia Ferreira,Daily,2026-07-12T01:03:00,1,default,KubernetesExecutor,23
RUN000116,DAG0118,churn_prediction_sync,TASK0519,RUNNING,183,Julia Ferreira,On Demand,2026-07-05T19:53:00,2,high_priority,CeleryExecutor,56
RUN000117,DAG0119,recommendation_engine_sync,TASK0526,RUNNING,109,Jennifer Walsh,Monthly,2026-06-29T15:45:00,0,high_priority,CeleryExecutor,33
RUN000118,DAG0015,payroll_etl,TASK0064,QUEUED,77,Aisha Khan,Weekly,2026-06-27T03:57:00,0,default,KubernetesExecutor,12
RUN000119,DAG0027,promotions_etl,TASK0122,SUCCESS,132,Elena Popescu,On Demand,2026-06-23T03:16:00,5,analytics,CeleryExecutor,7
RUN000120,DAG0118,churn_prediction_sync,TASK0518,SUCCESS,694,Julia Ferreira,On Demand,2026-06-08T16:28:00,3,default,CeleryExecutor,64
RUN000121,DAG0093,pricing_sync,TASK0412,SUCCESS,455,Hannah Schmidt,Hourly,2026-06-22T14:11:00,0,default,CeleryExecutor,55
RUN000122,DAG0054,lead_scoring_etl,TASK0234,SUCCESS,116,Kavya Reddy,Daily,2026-06-15T15:09:00,3,default,KubernetesExecutor,3
RUN000123,DAG0129,sustainability_reporting_sync,TASK0573,SUCCESS,583,Yuki Tanaka,Daily,2026-07-23T03:38:00,3,default,KubernetesExecutor,6
RUN000124,DAG0012,compliance_etl,TASK0053,SUCCESS,1374,Julia Ferreira,Daily,2026-06-04T16:44:00,0,default,LocalExecutor,41
RUN000125,DAG0066,travel_booking_etl,TASK0289,SUCCESS,330,Mark Thompson,Hourly,2026-07-27T01:05:00,4,etl,KubernetesExecutor,96
RUN000126,DAG0102,loyalty_sync,TASK0454,FAILED,426,Kavya Reddy,Hourly,2026-06-22T05:19:00,0,default,KubernetesExecutor,77
RUN000127,DAG0137,billing_pipeline,TASK0611,SUCCESS,81,Fatima Al-Sayed,Weekly,2026-06-18T04:22:00,1,default,CeleryExecutor,49
RUN000128,DAG0115,customer_onboarding_sync,TASK0506,SUCCESS,330,Samuel Okafor,Daily,2026-06-24T00:21:00,3,etl,KubernetesExecutor,96
RUN000129,DAG0100,claims_processing_sync,TASK0441,SUCCESS,250,Fatima Al-Sayed,Weekly,2026-06-27T08:42:00,1,default,KubernetesExecutor,58
RUN000130,DAG0090,erp_integration_sync,TASK0395,FAILED,151,Mark Thompson,Daily,2026-06-28T20:38:00,1,high_priority,CeleryExecutor,66
RUN000131,DAG0075,marketing_campaign_sync,TASK0322,SUCCESS,329,Priya Sharma,On Demand,2026-07-10T17:47:00,0,high_priority,KubernetesExecutor,88
RUN000132,DAG0089,crm_sync_sync,TASK0393,SUCCESS,92,Kenji Watanabe,Daily,2026-06-04T23:33:00,0,etl,KubernetesExecutor,29
RUN000133,DAG0097,tax_reporting_sync,TASK0426,SUCCESS,154,Grace Park,Weekly,2026-07-19T22:18:00,0,default,CeleryExecutor,29
RUN000134,DAG0005,inventory_etl,TASK0022,FAILED,734,Kenji Watanabe,Daily,2026-07-11T19:02:00,1,etl,KubernetesExecutor,80
RUN000135,DAG0115,customer_onboarding_sync,TASK0503,SUCCESS,249,Samuel Okafor,Daily,2026-06-13T05:51:00,1,default,KubernetesExecutor,13
RUN000136,DAG0025,master_data_etl,TASK0114,SUCCESS,483,Isaac Newton-Boyd,Daily,2026-06-19T04:17:00,1,default,CeleryExecutor,91
RUN000137,DAG0116,kyc_verification_sync,TASK0510,SUCCESS,79,Benjamin Wright,Daily,2026-07-19T07:02:00,0,default,CeleryExecutor,3
RUN000138,DAG0103,subscription_billing_sync,TASK0457,SUCCESS,2506,Wei Zhang,Monthly,2026-06-17T01:30:00,0,etl,KubernetesExecutor,46
RUN000139,DAG0129,sustainability_reporting_sync,TASK0572,SUCCESS,147,Yuki Tanaka,Daily,2026-06-19T17:43:00,1,default,CeleryExecutor,62
RUN000140,DAG0065,expense_reporting_etl,TASK0282,SUCCESS,524,Rachel Cohen,Daily,2026-07-21T19:22:00,0,analytics,KubernetesExecutor,47
RUN000141,DAG0062,sustainability_reporting_etl,TASK0272,SUCCESS,522,Daniel Osei,Hourly,2026-06-22T13:32:00,0,default,CeleryExecutor,62
RUN000142,DAG0026,pricing_etl,TASK0118,SUCCESS,279,Nina Petrova,Weekly,2026-07-05T06:18:00,2,default,KubernetesExecutor,28
RUN000143,DAG0074,hr_workflow_sync,TASK0321,SUCCESS,221,Laura Kowalski,Hourly,2026-07-10T15:17:00,0,default,CeleryExecutor,25
RUN000144,DAG0113,capacity_planning_sync,TASK0497,SUCCESS,1234,David Chen,Daily,2026-07-08T13:03:00,1,high_priority,LocalExecutor,82
RUN000145,DAG0038,ap_processing_etl,TASK0168,SUCCESS,389,Andrew Campbell,Daily,2026-07-02T14:30:00,0,default,CeleryExecutor,61
RUN000146,DAG0027,promotions_etl,TASK0124,SUCCESS,880,Elena Popescu,On Demand,2026-07-01T06:58:00,0,etl,KubernetesExecutor,5
RUN000147,DAG0064,benefits_enrollment_etl,TASK0279,SUCCESS,286,Maria Gonzalez,On Demand,2026-07-07T11:48:00,0,etl,LocalExecutor,84
RUN000148,DAG0052,recommendation_engine_etl,TASK0224,SUCCESS,503,Christopher Lee,Daily,2026-06-13T07:45:00,0,default,LocalExecutor,98
RUN000149,DAG0064,benefits_enrollment_etl,TASK0279,SUCCESS,967,Maria Gonzalez,On Demand,2026-07-20T11:35:00,0,analytics,CeleryExecutor,69
RUN000150,DAG0010,supply_chain_etl,TASK0045,SUCCESS,604,Michael O'Brien,Daily,2026-06-09T14:22:00,0,default,KubernetesExecutor,82
RUN000151,DAG0148,audit_pipeline,TASK0661,RUNNING,387,Fatima Al-Sayed,On Demand,2026-07-20T04:26:00,0,default,KubernetesExecutor,81
RUN000152,DAG0038,ap_processing_etl,TASK0169,SUCCESS,91,Andrew Campbell,Daily,2026-06-11T11:54:00,4,default,KubernetesExecutor,60
RUN000153,DAG0017,warehouse_etl,TASK0078,SUCCESS,853,Julia Ferreira,Hourly,2026-07-01T03:51:00,0,etl,KubernetesExecutor,45
RUN000154,DAG0022,crm_sync_etl,TASK0101,SUCCESS,245,Julia Ferreira,Daily,2026-06-20T10:03:00,0,etl,LocalExecutor,74
RUN000155,DAG0095,demand_forecasting_sync,TASK0417,QUEUED,885,Aisha Khan,On Demand,2026-06-28T20:22:00,0,etl,KubernetesExecutor,35
RUN000156,DAG0056,shipment_tracking_etl,TASK0238,SUCCESS,97,Hannah Schmidt,Monthly,2026-06-10T16:38:00,0,etl,LocalExecutor,83
RUN000157,DAG0070,billing_sync,TASK0304,SUCCESS,402,Zainab Ibrahim,Hourly,2026-06-22T02:44:00,0,etl,CeleryExecutor,4
RUN000158,DAG0134,vendor_scorecard_sync,TASK0591,SUCCESS,534,Nina Petrova,On Demand,2026-06-28T05:35:00,3,default,CeleryExecutor,36
RUN000159,DAG0014,audit_etl,TASK0061,SUCCESS,176,Mark Thompson,Monthly,2026-07-15T20:15:00,1,analytics,CeleryExecutor,48
RUN000160,DAG0132,expense_reporting_sync,TASK0583,SUCCESS,333,Michael O'Brien,Daily,2026-07-26T03:20:00,3,analytics,KubernetesExecutor,16
RUN000161,DAG0148,audit_pipeline,TASK0660,QUEUED,77,Fatima Al-Sayed,On Demand,2026-07-17T22:29:00,2,default,CeleryExecutor,93
RUN000162,DAG0010,supply_chain_etl,TASK0045,SUCCESS,172,Michael O'Brien,Daily,2026-07-13T03:43:00,0,etl,LocalExecutor,16
RUN000163,DAG0139,inventory_pipeline,TASK0617,SUCCESS,704,Vikram Patel,Daily,2026-07-23T12:53:00,0,default,CeleryExecutor,40
RUN000164,DAG0044,maintenance_scheduling_etl,TASK0191,SUCCESS,306,Laura Kowalski,Daily,2026-06-18T17:21:00,0,etl,CeleryExecutor,43
RUN000165,DAG0003,billing_etl,TASK0011,SUCCESS,524,Fatima Al-Sayed,Daily,2026-07-25T13:09:00,0,default,KubernetesExecutor,16
RUN000166,DAG0093,pricing_sync,TASK0411,SUCCESS,240,Hannah Schmidt,Hourly,2026-06-18T11:13:00,3,analytics,CeleryExecutor,3
RUN000167,DAG0013,risk_scoring_etl,TASK0058,RUNNING,190,Wei Zhang,Weekly,2026-06-04T01:14:00,0,default,CeleryExecutor,62
RUN000168,DAG0145,logistics_pipeline,TASK0645,SUCCESS,476,Andrew Campbell,Daily,2026-07-15T13:55:00,1,default,LocalExecutor,88
RUN000169,DAG0031,treasury_etl,TASK0139,SUCCESS,782,Isaac Newton-Boyd,Weekly,2026-06-14T19:45:00,0,high_priority,CeleryExecutor,34
RUN000170,DAG0091,data_quality_sync,TASK0403,SUCCESS,105,Yuki Tanaka,Daily,2026-07-26T13:04:00,0,default,CeleryExecutor,47
RUN000171,DAG0137,billing_pipeline,TASK0608,SUCCESS,141,Fatima Al-Sayed,Weekly,2026-07-16T10:07:00,0,default,CeleryExecutor,54
RUN000172,DAG0019,analytics_etl,TASK0088,SUCCESS,245,Elena Popescu,Daily,2026-07-06T00:34:00,1,high_priority,LocalExecutor,50
RUN000173,DAG0099,contracts_sync,TASK0438,SUCCESS,351,Isaac Newton-Boyd,Monthly,2026-07-03T10:56:00,0,default,CeleryExecutor,66
RUN000174,DAG0004,fraud_detection_etl,TASK0018,CANCELLED,101,Michael O'Brien,Daily,2026-06-15T15:05:00,0,etl,KubernetesExecutor,52
RUN000175,DAG0093,pricing_sync,TASK0413,RUNNING,330,Hannah Schmidt,Hourly,2026-07-16T19:35:00,0,etl,CeleryExecutor,84
RUN000176,DAG0115,customer_onboarding_sync,TASK0504,SUCCESS,386,Samuel Okafor,Daily,2026-06-26T14:46:00,1,default,CeleryExecutor,45
