entity_id,source_system,total_incidents,last_incident,root_cause,resolution,severity
DAG0064,Airflow,9,2026-07-07,Power Outage,Retry Pipeline,Medium
DAG0065,Airflow,1,2026-07-14,Network Timeout,Update Configuration,Critical
DAG0066,Airflow,13,2026-07-19,Broker Failure,Replace Sensor,Critical
DAG0067,Airflow,7,2026-07-04,Authentication Failure,Replace Node,High
DAG0068,Airflow,1,2026-07-12,Container Restart,Increase Resources,Medium
DAG0069,Airflow,6,2026-07-11,Configuration Drift,Update Configuration,High
DAG0070,Airflow,12,2026-07-14,Power Outage,Rollback Deployment,Critical
DAG0071,Airflow,2,2026-07-10,Container Restart,Apply Patch,Medium
DAG0072,Airflow,1,2026-07-22,CPU Saturation,Manual Intervention,High
DAG0073,Airflow,15,2026-07-27,Memory Leak,Rollback Deployment,Low
DAG0074,Airflow,9,2026-07-03,Power Outage,Retry Pipeline,Medium
DAG0075,Airflow,0,2026-07-11,Dependency Failure,Increase Resources,Medium
DAG0076,Airflow,13,2026-07-04,Power Outage,Replace Node,High
DAG0077,Airflow,13,2026-07-06,API Rate Limit,Increase Resources,Medium
DAG0078,Airflow,4,2026-07-02,CPU Saturation,Replace Sensor,Medium
DAG0079,Airflow,12,2026-07-27,Container Restart,Update Configuration,Medium
DAG0080,Airflow,8,2026-07-26,Database Lock,Apply Patch,Critical
DAG0081,Airflow,13,2026-07-09,API Rate Limit,Restart Service,Critical
DAG0082,Airflow,4,2026-07-22,Pod Crash,Rollback Deployment,Medium
DAG0083,Airflow,8,2026-07-25,Disk Full,Update Configuration,High
DAG0084,Airflow,2,2026-07-18,Container Restart,Replace Node,Medium
DAG0085,Airflow,2,2026-07-03,Disk Full,Apply Patch,Low
DAG0086,Airflow,4,2026-07-14,Container Restart,Restart Service,Critical
DAG0087,Airflow,9,2026-07-20,Container Restart,Increase Resources,High
DAG0088,Airflow,9,2026-07-16,Memory Leak,Apply Patch,Medium
DAG0089,Airflow,12,2026-07-05,Power Outage,Rollback Deployment,Critical
DAG0090,Airflow,10,2026-07-07,Power Outage,Retry Pipeline,Low
DAG0091,Airflow,9,2026-07-18,Network Timeout,Increase Resources,Low
DAG0092,Airflow,8,2026-07-27,Configuration Drift,Manual Intervention,Critical
DAG0093,Airflow,14,2026-07-05,Configuration Drift,Replace Sensor,High
DAG0094,Airflow,0,2026-07-20,Pod Crash,Replace Node,High
DAG0095,Airflow,10,2026-07-14,Authentication Failure,Apply Patch,High
DAG0096,Airflow,11,2026-07-22,Power Outage,Replace Node,Low
DAG0097,Airflow,3,2026-07-19,API Rate Limit,Replace Sensor,Low
DAG0098,Airflow,8,2026-07-05,Database Lock,Manual Intervention,High
DAG0099,Airflow,15,2026-07-21,Memory Leak,Replace Node,Medium
DAG0100,Airflow,1,2026-07-01,Disk Full,Manual Intervention,Critical
DAG0101,Airflow,9,2026-07-19,API Rate Limit,Scale Cluster,High
DAG0102,Airflow,10,2026-07-10,Configuration Drift,Manual Intervention,Critical
DAG0103,Airflow,7,2026-07-05,Pod Crash,Retry Pipeline,Low
DAG0104,Airflow,6,2026-07-19,Container Restart,Retry Pipeline,High
DAG0105,Airflow,0,2026-07-13,Disk Full,Restart Service,High
DAG0106,Airflow,11,2026-07-13,Pod Crash,Apply Patch,Low
DAG0107,Airflow,7,2026-07-08,Pod Crash,Rollback Deployment,High
DAG0108,Airflow,7,2026-07-24,Network Timeout,Apply Patch,Low
DAG0109,Airflow,1,2026-07-18,Configuration Drift,Retry Pipeline,Low
DAG0110,Airflow,9,2026-07-28,Sensor Failure,Retry Pipeline,Low
DAG0111,Airflow,1,2026-07-28,Database Lock,Scale Cluster,High
DAG0112,Airflow,14,2026-07-18,API Rate Limit,Rollback Deployment,Medium
DAG0113,Airflow,0,2026-07-09,Container Restart,Manual Intervention,Low
DAG0114,Airflow,14,2026-07-06,Sensor Failure,Rollback Deployment,High
DAG0115,Airflow,14,2026-07-12,Network Timeout,Manual Intervention,Low
DAG0116,Airflow,3,2026-07-04,Container Restart,Retry Pipeline,High
DAG0117,Airflow,2,2026-07-13,Broker Failure,Apply Patch,Low
DAG0118,Airflow,8,2026-07-02,Dependency Failure,Increase Resources,Medium
DAG0119,Airflow,10,2026-07-13,Power Outage,Retry Pipeline,Critical
DAG0120,Airflow,12,2026-07-14,Authentication Failure,Manual Intervention,Low
DAG0121,Airflow,11,2026-07-25,Disk Full,Increase Resources,High
DAG0122,Airflow,7,2026-07-19,Container Restart,Retry Pipeline,Low
DAG0123,Airflow,15,2026-07-20,Configuration Drift,Scale Cluster,Low
DAG0124,Airflow,9,2026-07-11,Configuration Drift,Scale Cluster,Low
DAG0125,Airflow,5,2026-07-22,Power Outage,Replace Sensor,Critical
DAG0126,Airflow,12,2026-07-03,Pod Crash,Manual Intervention,Low
DAG0127,Airflow,10,2026-07-26,Broker Failure,Increase Resources,Critical
DAG0128,Airflow,11,2026-07-10,CPU Saturation,Update Configuration,High
DAG0129,Airflow,7,2026-07-17,Authentication Failure,Replace Sensor,High
DAG0130,Airflow,8,2026-07-25,Sensor Failure,Increase Resources,Critical
DAG0131,Airflow,14,2026-07-20,Authentication Failure,Replace Node,Critical
DAG0132,Airflow,5,2026-07-18,Authentication Failure,Update Configuration,Medium
DAG0133,Airflow,5,2026-07-03,Configuration Drift,Restart Service,High
DAG0134,Airflow,1,2026-07-25,Sensor Failure,Update Configuration,High
DAG0135,Airflow,13,2026-07-06,Configuration Drift,Retry Pipeline,High
DAG0136,Airflow,1,2026-07-09,Firmware Error,Retry Pipeline,High
DAG0137,Airflow,8,2026-07-23,Dependency Failure,Rollback Deployment,Low
DAG0138,Airflow,9,2026-07-11,Container Restart,Manual Intervention,High
DAG0139,Airflow,9,2026-07-06,Firmware Error,Replace Node,Critical
DAG0140,Airflow,14,2026-07-01,Network Timeout,Rollback Deployment,Critical
DAG0141,Airflow,4,2026-07-03,Container Restart,Manual Intervention,Critical
DAG0142,Airflow,10,2026-07-26,Authentication Failure,Scale Cluster,Medium
DAG0143,Airflow,7,2026-07-16,API Rate Limit,Manual Intervention,Critical
DAG0144,Airflow,0,2026-07-09,Memory Leak,Restart Service,Critical
DAG0145,Airflow,10,2026-07-13,Configuration Drift,Increase Resources,Medium
DAG0146,Airflow,11,2026-07-17,Container Restart,Replace Node,High
DAG0147,Airflow,11,2026-07-02,Pod Crash,Manual Intervention,High
DAG0148,Airflow,13,2026-07-08,CPU Saturation,Scale Cluster,Low
DAG0149,Airflow,10,2026-07-03,Container Restart,Update Configuration,Critical
DAG0150,Airflow,0,2026-07-11,Network Timeout,Apply Patch,Medium
DAG0151,Airflow,3,2026-07-17,Authentication Failure,Apply Patch,Critical
DAG0152,Airflow,4,2026-07-04,Authentication Failure,Update Configuration,Low
DAG0153,Airflow,6,2026-07-27,Firmware Error,Rollback Deployment,High
DAG0154,Airflow,1,2026-07-27,Power Outage,Scale Cluster,High
DAG0155,Airflow,13,2026-07-27,Sensor Failure,Apply Patch,Low
DAG0156,Airflow,13,2026-07-18,Pod Crash,Restart Service,Critical
DAG0157,Airflow,10,2026-07-13,Disk Full,Retry Pipeline,Critical
DAG0158,Airflow,7,2026-07-19,Firmware Error,Apply Patch,Medium
DAG0159,Airflow,1,2026-07-03,Network Timeout,Scale Cluster,High
DAG0160,Airflow,11,2026-07-03,CPU Saturation,Apply Patch,Critical
DAG0161,Airflow,4,2026-07-06,Sensor Failure,Restart Service,Low
DAG0162,Airflow,10,2026-07-15,Network Timeout,Replace Node,High
DAG0163,Airflow,7,2026-07-06,Pod Crash,Increase Resources,Critical
DAG0164,Airflow,0,2026-07-14,API Rate Limit,Retry Pipeline,Low
DAG0165,Airflow,1,2026-07-12,Network Timeout,Apply Patch,Critical
DAG0166,Airflow,2,2026-07-21,Container Restart,Apply Patch,High
DAG0167,Airflow,11,2026-07-26,Container Restart,Apply Patch,High
DAG0168,Airflow,3,2026-07-25,Pod Crash,Retry Pipeline,High
DAG0169,Airflow,12,2026-07-18,CPU Saturation,Replace Node,Low
DAG0170,Airflow,8,2026-07-13,API Rate Limit,Update Configuration,Low
DAG0171,Airflow,9,2026-07-09,Firmware Error,Update Configuration,Critical
DAG0172,Airflow,5,2026-07-03,Disk Full,Replace Sensor,Low
DAG0173,Airflow,0,2026-07-08,CPU Saturation,Update Configuration,Low
DAG0174,Airflow,7,2026-07-22,Memory Leak,Replace Node,Low
DAG0175,Airflow,11,2026-07-15,Disk Full,Scale Cluster,Low
DAG0176,Airflow,8,2026-07-21,Sensor Failure,Replace Node,High
DAG0177,Airflow,10,2026-07-24,Sensor Failure,Scale Cluster,Low
DAG0178,Airflow,2,2026-07-08,CPU Saturation,Scale Cluster,Medium
DAG0179,Airflow,9,2026-07-14,Network Timeout,Retry Pipeline,High
DAG0180,Airflow,8,2026-07-07,Power Outage,Retry Pipeline,High
DAG0181,Airflow,6,2026-07-01,API Rate Limit,Restart Service,High
DAG0182,Airflow,10,2026-07-14,Dependency Failure,Retry Pipeline,Medium
DAG0183,Airflow,12,2026-07-21,Disk Full,Replace Sensor,Critical
DAG0184,Airflow,9,2026-07-14,API Rate Limit,Increase Resources,Medium
DAG0185,Airflow,9,2026-07-06,Network Timeout,Replace Sensor,Low
DAG0186,Airflow,7,2026-07-15,Disk Full,Replace Node,Low
DAG0187,Airflow,5,2026-07-11,CPU Saturation,Update Configuration,Medium
DAG0188,Airflow,1,2026-07-28,Authentication Failure,Increase Resources,Low
DAG0189,Airflow,0,2026-07-23,Firmware Error,Replace Sensor,High
DAG0190,Airflow,5,2026-07-03,Power Outage,Update Configuration,Medium
DAG0191,Airflow,10,2026-07-04,Pod Crash,Restart Service,Critical
DAG0192,Airflow,11,2026-07-23,Pod Crash,Increase Resources,Critical
DAG0193,Airflow,8,2026-07-20,Memory Leak,Scale Cluster,Critical
DAG0194,Airflow,1,2026-07-18,Dependency Failure,Apply Patch,Low
DAG0195,Airflow,9,2026-07-15,Power Outage,Retry Pipeline,High
DAG0196,Airflow,3,2026-07-25,CPU Saturation,Replace Sensor,Low
DAG0197,Airflow,8,2026-07-05,Firmware Error,Restart Service,Medium
DAG0198,Airflow,1,2026-07-01,Sensor Failure,Replace Node,High
DAG0199,Airflow,8,2026-07-05,Authentication Failure,Manual Intervention,Medium
DAG0200,Airflow,2,2026-07-26,Container Restart,Retry Pipeline,Low
DAG0201,Airflow,3,2026-07-22,CPU Saturation,Update Configuration,High
DAG0202,Airflow,10,2026-07-17,Database Lock,Increase Resources,High
DAG0203,Airflow,14,2026-07-23,CPU Saturation,Restart Service,Critical
DAG0204,Airflow,0,2026-07-21,Sensor Failure,Manual Intervention,Critical
DAG0205,Airflow,7,2026-07-05,Sensor Failure,Apply Patch,Medium
DAG0206,Airflow,6,2026-07-24,Sensor Failure,Rollback Deployment,High
DAG0207,Airflow,6,2026-07-24,Configuration Drift,Update Configuration,Medium
DAG0208,Airflow,10,2026-07-14,Authentication Failure,Restart Service,Medium
DAG0209,Airflow,8,2026-07-28,Firmware Error,Retry Pipeline,High
DAG0210,Airflow,11,2026-07-13,Memory Leak,Manual Intervention,Medium
DAG0211,Airflow,15,2026-07-12,Network Timeout,Scale Cluster,Low
DAG0212,Airflow,8,2026-07-27,Sensor Failure,Replace Node,High
DAG0213,Airflow,14,2026-07-06,Memory Leak,Increase Resources,Medium
DAG0214,Airflow,0,2026-07-08,Network Timeout,Retry Pipeline,High
DAG0215,Airflow,5,2026-07-08,Firmware Error,Apply Patch,High
DAG0216,Airflow,13,2026-07-27,Authentication Failure,Manual Intervention,Critical
DAG0217,Airflow,7,2026-07-26,Pod Crash,Apply Patch,Medium
DAG0218,Airflow,3,2026-07-17,Network Timeout,Apply Patch,High
DAG0219,Airflow,13,2026-07-18,Power Outage,Replace Sensor,Low
DAG0220,Airflow,6,2026-07-17,Broker Failure,Rollback Deployment,Critical
DAG0221,Airflow,9,2026-07-23,Configuration Drift,Restart Service,High
DAG0222,Airflow,5,2026-07-03,Disk Full,Apply Patch,Medium
DAG0223,Airflow,14,2026-07-13,Configuration Drift,Restart Service,Medium
DAG0224,Airflow,10,2026-07-25,Pod Crash,Update Configuration,Critical
DAG0225,Airflow,2,2026-07-13,API Rate Limit,Rollback Deployment,Critical
DAG0226,Airflow,6,2026-07-08,Memory Leak,Scale Cluster,Medium
DAG0227,Airflow,15,2026-07-06,Power Outage,Replace Sensor,Medium
DAG0228,Airflow,14,2026-07-11,Sensor Failure,Restart Service,Critical
DAG0229,Airflow,13,2026-07-07,Broker Failure,Rollback Deployment,Medium
DAG0230,Airflow,4,2026-07-16,Power Outage,Restart Service,High
DAG0231,Airflow,14,2026-07-24,CPU Saturation,Replace Node,Medium
DAG0232,Airflow,2,2026-07-13,Configuration Drift,Replace Node,Low
DAG0233,Airflow,8,2026-07-15,Power Outage,Rollback Deployment,Low
DAG0234,Airflow,0,2026-07-25,Broker Failure,Replace Sensor,Critical
DAG0235,Airflow,10,2026-07-28,Pod Crash,Update Configuration,Medium
DAG0236,Airflow,9,2026-07-01,Network Timeout,Replace Sensor,High
DAG0237,Airflow,13,2026-07-13,Memory Leak,Retry Pipeline,Low
DAG0238,Airflow,14,2026-07-20,Pod Crash,Replace Node,Low
DAG0239,Airflow,15,2026-07-07,CPU Saturation,Apply Patch,Medium
DAG0240,Airflow,0,2026-07-04,Power Outage,Scale Cluster,Low
DAG0241,Airflow,3,2026-07-09,Pod Crash,Replace Node,High
DAG0242,Airflow,15,2026-07-23,Configuration Drift,Retry Pipeline,Medium
DAG0243,Airflow,7,2026-07-11,Container Restart,Rollback Deployment,Low
DAG0244,Airflow,10,2026-07-24,Pod Crash,Replace Node,High
DAG0245,Airflow,2,2026-07-22,Container Restart,Apply Patch,High
DAG0246,Airflow,3,2026-07-16,Memory Leak,Increase Resources,Critical
DAG0247,Airflow,11,2026-07-26,Sensor Failure,Restart Service,Medium
DAG0248,Airflow,13,2026-07-24,Database Lock,Manual Intervention,Medium
DAG0249,Airflow,10,2026-07-28,CPU Saturation,Apply Patch,Low
DAG0250,Airflow,4,2026-07-10,Network Timeout,Replace Node,High
DAG0251,Airflow,2,2026-07-19,Broker Failure,Manual Intervention,High
DAG0252,Airflow,13,2026-07-28,Database Lock,Scale Cluster,Critical
DAG0253,Airflow,2,2026-07-08,Broker Failure,Replace Node,Low
DAG0254,Airflow,6,2026-07-16,Broker Failure,Manual Intervention,High
DAG0255,Airflow,9,2026-07-06,CPU Saturation,Manual Intervention,Low
DAG0256,Airflow,0,2026-07-11,Sensor Failure,Increase Resources,Medium
DAG0257,Airflow,1,2026-07-09,Authentication Failure,Restart Service,Medium
DAG0258,Airflow,3,2026-07-11,Pod Crash,Manual Intervention,Critical
DAG0259,Airflow,7,2026-07-17,Disk Full,Restart Service,Medium
DAG0260,Airflow,13,2026-07-08,Configuration Drift,Retry Pipeline,Low
DAG0261,Airflow,10,2026-07-03,Container Restart,Replace Sensor,Critical
DAG0262,Airflow,7,2026-07-20,Memory Leak,Scale Cluster,Critical
DAG0263,Airflow,0,2026-07-09,Broker Failure,Scale Cluster,High
DAG0264,Airflow,1,2026-07-17,Database Lock,Update Configuration,Low
DAG0265,Airflow,13,2026-07-10,Configuration Drift,Restart Service,High
DAG0266,Airflow,14,2026-07-03,Disk Full,Rollback Deployment,High
DAG0267,Airflow,4,2026-07-06,Firmware Error,Retry Pipeline,High
DAG0268,Airflow,0,2026-07-20,Dependency Failure,Update Configuration,High
DAG0269,Airflow,4,2026-07-02,API Rate Limit,Rollback Deployment,Critical
DAG0270,Airflow,5,2026-07-15,Sensor Failure,Manual Intervention,Medium
DAG0271,Airflow,13,2026-07-17,Memory Leak,Scale Cluster,Critical
DAG0272,Airflow,9,2026-07-07,Network Timeout,Increase Resources,Critical
DAG0273,Airflow,9,2026-07-10,Container Restart,Replace Sensor,Medium
DAG0274,Airflow,4,2026-07-16,Authentication Failure,Update Configuration,Medium
DAG0275,Airflow,2,2026-07-05,Disk Full,Restart Service,Medium
DAG0276,Airflow,6,2026-07-17,Disk Full,Retry Pipeline,Critical
DAG0277,Airflow,4,2026-07-25,Firmware Error,Increase Resources,High
DAG0278,Airflow,6,2026-07-11,Memory Leak,Scale Cluster,Medium
DAG0279,Airflow,7,2026-07-06,Database Lock,Replace Node,Medium
DAG0280,Airflow,11,2026-07-10,CPU Saturation,Scale Cluster,Critical
DAG0281,Airflow,5,2026-07-23,Dependency Failure,Rollback Deployment,Medium
DAG0282,Airflow,10,2026-07-18,API Rate Limit,Increase Resources,Medium
DAG0283,Airflow,10,2026-07-18,Sensor Failure,Scale Cluster,High
DAG0284,Airflow,10,2026-07-16,API Rate Limit,Restart Service,Critical
DAG0285,Airflow,13,2026-07-23,Dependency Failure,Rollback Deployment,Critical
DAG0286,Airflow,10,2026-07-23,Broker Failure,Apply Patch,Low
DAG0287,Airflow,0,2026-07-05,Sensor Failure,Update Configuration,Low
DAG0288,Airflow,7,2026-07-23,Container Restart,Replace Node,Low
DAG0289,Airflow,15,2026-07-21,Sensor Failure,Increase Resources,Medium
DAG0290,Airflow,8,2026-07-02,API Rate Limit,Update Configuration,High
DAG0291,Airflow,5,2026-07-19,Sensor Failure,Retry Pipeline,Low
DAG0292,Airflow,12,2026-07-08,API Rate Limit,Update Configuration,High
DAG0293,Airflow,15,2026-07-09,Authentication Failure,Replace Sensor,Low
DAG0294,Airflow,8,2026-07-26,Database Lock,Replace Node,Low
DAG0295,Airflow,9,2026-07-09,Memory Leak,Restart Service,Critical
DAG0296,Airflow,14,2026-07-09,Power Outage,Apply Patch,Medium
DAG0297,Airflow,5,2026-07-21,Pod Crash,Increase Resources,High
DAG0298,Airflow,1,2026-07-22,Broker Failure,Replace Node,High
DAG0299,Airflow,11,2026-07-11,API Rate Limit,Replace Node,Low
DAG0300,Airflow,11,2026-07-16,Database Lock,Update Configuration,High
DAG0301,Airflow,12,2026-07-04,Memory Leak,Replace Sensor,Low
DAG0302,Airflow,9,2026-07-27,Power Outage,Increase Resources,Low
DAG0303,Airflow,6,2026-07-25,Network Timeout,Manual Intervention,High
DAG0304,Airflow,5,2026-07-01,Dependency Failure,Update Configuration,Critical
DAG0305,Airflow,5,2026-07-23,Pod Crash,Manual Intervention,Critical
DAG0306,Airflow,3,2026-07-26,Authentication Failure,Update Configuration,Low
DAG0307,Airflow,0,2026-07-16,Container Restart,Increase Resources,Critical
DAG0308,Airflow,7,2026-07-03,Pod Crash,Manual Intervention,Low
DAG0309,Airflow,1,2026-07-09,Authentication Failure,Increase Resources,Low
DAG0310,Airflow,14,2026-07-09,Network Timeout,Apply Patch,High
DAG0311,Airflow,3,2026-07-15,Pod Crash,Scale Cluster,Critical
DAG0312,Airflow,14,2026-07-15,Power Outage,Retry Pipeline,Low
DAG0313,Airflow,2,2026-07-20,Dependency Failure,Rollback Deployment,Critical
DAG0314,Airflow,4,2026-07-11,Memory Leak,Replace Sensor,Critical
DAG0315,Airflow,15,2026-07-23,Container Restart,Replace Sensor,Medium
DAG0316,Airflow,6,2026-07-17,API Rate Limit,Restart Service,Medium
DAG0317,Airflow,13,2026-07-19,CPU Saturation,Rollback Deployment,Low
DAG0318,Airflow,5,2026-07-23,Container Restart,Replace Node,High
DAG0319,Airflow,4,2026-07-12,Pod Crash,Replace Sensor,High
DAG0320,Airflow,15,2026-07-10,Power Outage,Manual Intervention,High
DAG0321,Airflow,6,2026-07-19,Container Restart,Scale Cluster,Medium
DAG0322,Airflow,12,2026-07-12,Network Timeout,Replace Node,Medium
DAG0323,Airflow,4,2026-07-07,Disk Full,Update Configuration,Medium
DAG0324,Airflow,9,2026-07-16,Container Restart,Update Configuration,High
DAG0325,Airflow,2,2026-07-20,Sensor Failure,Rollback Deployment,Low
DAG0326,Airflow,1,2026-07-09,CPU Saturation,Apply Patch,Medium
DAG0327,Airflow,3,2026-07-18,Configuration Drift,Rollback Deployment,High
DAG0328,Airflow,3,2026-07-14,Pod Crash,Increase Resources,Critical
DAG0329,Airflow,7,2026-07-10,Authentication Failure,Scale Cluster,High
DAG0330,Airflow,8,2026-07-02,Database Lock,Replace Node,Critical
DAG0331,Airflow,2,2026-07-04,Firmware Error,Manual Intervention,Critical
DAG0332,Airflow,5,2026-07-27,CPU Saturation,Apply Patch,Low
DAG0333,Airflow,9,2026-07-15,Configuration Drift,Replace Node,Low
DAG0334,Airflow,3,2026-07-05,Broker Failure,Apply Patch,Critical
DAG0335,Airflow,11,2026-07-16,API Rate Limit,Manual Intervention,Low
DAG0336,Airflow,5,2026-07-13,Configuration Drift,Rollback Deployment,High
DAG0337,Airflow,13,2026-07-04,Broker Failure,Update Configuration,Medium
DAG0338,Airflow,15,2026-07-16,Container Restart,Retry Pipeline,Critical
DAG0339,Airflow,12,2026-07-04,Broker Failure,Rollback Deployment,Medium
DAG0340,Airflow,13,2026-07-09,Network Timeout,Update Configuration,Critical
DAG0341,Airflow,11,2026-07-14,Memory Leak,Update Configuration,Critical
DAG0342,Airflow,13,2026-07-07,CPU Saturation,Increase Resources,Medium
DAG0343,Airflow,14,2026-07-09,Dependency Failure,Replace Sensor,Low
DAG0344,Airflow,8,2026-07-27,Disk Full,Retry Pipeline,Medium
DAG0345,Airflow,5,2026-07-09,Authentication Failure,Restart Service,Medium
DAG0346,Airflow,7,2026-07-04,Configuration Drift,Replace Sensor,Critical
DAG0347,Airflow,14,2026-07-14,Disk Full,Manual Intervention,Critical
DAG0348,Airflow,1,2026-07-23,Dependency Failure,Scale Cluster,Medium
DAG0349,Airflow,6,2026-07-28,Dependency Failure,Retry Pipeline,Low
DAG0350,Airflow,8,2026-07-17,Database Lock,Rollback Deployment,Low
DAG0351,Airflow,4,2026-07-28,Configuration Drift,Apply Patch,Medium
DAG0352,Airflow,0,2026-07-01,Dependency Failure,Replace Sensor,High
DAG0353,Airflow,13,2026-07-25,Dependency Failure,Update Configuration,Low
DAG0354,Airflow,13,2026-07-06,Broker Failure,Retry Pipeline,Critical
DAG0355,Airflow,12,2026-07-23,Broker Failure,Manual Intervention,Medium
DAG0356,Airflow,11,2026-07-05,Dependency Failure,Replace Sensor,Critical
DAG0357,Airflow,8,2026-07-24,CPU Saturation,Apply Patch,Medium
DAG0358,Airflow,8,2026-07-06,Sensor Failure,Update Configuration,Low
DAG0359,Airflow,8,2026-07-19,Dependency Failure,Manual Intervention,High
DAG0360,Airflow,10,2026-07-05,Network Timeout,Increase Resources,Low
DAG0361,Airflow,2,2026-07-18,Configuration Drift,Apply Patch,Critical
DAG0362,Airflow,13,2026-07-24,Power Outage,Replace Node,High
DAG0363,Airflow,13,2026-07-03,Network Timeout,Replace Sensor,Medium
DAG0364,Airflow,9,2026-07-27,Memory Leak,Replace Sensor,Low
DAG0365,Airflow,0,2026-07-04,Sensor Failure,Update Configuration,High
DAG0366,Airflow,2,2026-07-24,Configuration Drift,Replace Node,Critical
DAG0367,Airflow,12,2026-07-26,Disk Full,Increase Resources,High
DAG0368,Airflow,6,2026-07-03,Disk Full,Update Configuration,High
DAG0369,Airflow,1,2026-07-11,Network Timeout,Increase Resources,Low
