entity_id,source_system,recommendation,impact,applied,success_rate
DAG0034,Airflow,Increase Kafka Partitions,Memory Optimized,Yes,88
DAG0035,Airflow,Optimize Indexing,Higher Throughput,Yes,97
DAG0036,Airflow,Optimize SQL Query,Memory Optimized,No,84
DAG0037,Airflow,Enable Autoscaling,CPU Reduced,Yes,89
DAG0038,Airflow,Replace Aging Hardware,Latency Reduced,No,85
DAG0039,Airflow,Enable Compression,CPU Reduced,Yes,95
DAG0040,Airflow,Enable Autoscaling,Memory Optimized,No,97
DAG0041,Airflow,Reduce Batch Size,Higher Throughput,No,85
DAG0042,Airflow,Increase Sensor Sampling Rate,Improved Reliability,Yes,82
DAG0043,Airflow,Increase Retry Count,Improved Reliability,No,89
DAG0044,Airflow,Optimize SQL Query,Improved Reliability,No,93
DAG0045,Airflow,Enable Compression,Runtime Reduced,Yes,98
DAG0046,Airflow,Move Job to Off-Peak Hours,CPU Reduced,No,99
DAG0047,Airflow,Increase Worker Nodes,Runtime Reduced,No,83
DAG0048,Airflow,Increase Memory Limit,Improved Reliability,No,96
DAG0049,Airflow,Increase Kafka Partitions,Latency Reduced,No,100
DAG0050,Airflow,Increase Memory Limit,Latency Reduced,No,86
DAG0051,Airflow,Optimize SQL Query,Higher Throughput,No,91
DAG0052,Airflow,Enable Compression,Lower Failure Rate,No,100
DAG0053,Airflow,Increase Kafka Partitions,Memory Optimized,Yes,83
DAG0054,Airflow,Enable Compression,Reduced Cost,No,83
DAG0055,Airflow,Increase Kafka Partitions,Latency Reduced,Yes,83
DAG0056,Airflow,Optimize SQL Query,Higher Throughput,Yes,85
DAG0057,Airflow,Optimize Indexing,CPU Reduced,No,98
DAG0058,Airflow,Reduce Batch Size,Memory Optimized,Yes,86
DAG0059,Airflow,Increase Retry Count,Reduced Cost,Yes,92
DAG0060,Airflow,Increase Retry Count,Lower Failure Rate,No,83
DAG0061,Airflow,Optimize Indexing,Runtime Reduced,No,82
DAG0062,Airflow,Enable Compression,Lower Failure Rate,Yes,93
DAG0063,Airflow,Replace Aging Hardware,CPU Reduced,No,95
DAG0064,Airflow,Increase Kafka Partitions,Runtime Reduced,No,95
DAG0065,Airflow,Scale Kubernetes Cluster,Reduced Cost,No,91
DAG0066,Airflow,Increase Sensor Sampling Rate,Lower Failure Rate,Yes,92
DAG0067,Airflow,Replace Aging Hardware,CPU Reduced,Yes,97
DAG0068,Airflow,Increase Worker Nodes,Runtime Reduced,No,91
DAG0069,Airflow,Increase Kafka Partitions,Lower Failure Rate,Yes,98
DAG0070,Airflow,Reduce Batch Size,CPU Reduced,No,91
DAG0071,Airflow,Move Job to Off-Peak Hours,Reduced Cost,No,82
DAG0072,Airflow,Optimize SQL Query,Memory Optimized,Yes,96
DAG0073,Airflow,Replace Aging Hardware,Reduced Cost,No,87
DAG0074,Airflow,Increase Retry Count,CPU Reduced,Yes,96
DAG0075,Airflow,Increase Worker Nodes,Higher Throughput,No,86
DAG0076,Airflow,Increase Worker Nodes,Latency Reduced,No,96
DAG0077,Airflow,Increase Retry Count,Improved Reliability,Yes,94
DAG0078,Airflow,Increase Sensor Sampling Rate,Improved Reliability,Yes,86
DAG0079,Airflow,Enable Autoscaling,Lower Failure Rate,Yes,92
DAG0080,Airflow,Optimize Indexing,Higher Throughput,No,85
DAG0081,Airflow,Optimize Indexing,Memory Optimized,Yes,86
DAG0082,Airflow,Scale Kubernetes Cluster,Memory Optimized,No,94
DAG0083,Airflow,Increase Sensor Sampling Rate,Improved Reliability,Yes,85
DAG0084,Airflow,Replace Aging Hardware,Lower Failure Rate,Yes,85
DAG0085,Airflow,Replace Aging Hardware,Reduced Cost,Yes,86
DAG0086,Airflow,Enable Autoscaling,Memory Optimized,Yes,92
DAG0087,Airflow,Optimize SQL Query,Lower Failure Rate,Yes,82
DAG0088,Airflow,Increase Sensor Sampling Rate,Runtime Reduced,Yes,96
DAG0089,Airflow,Enable Compression,CPU Reduced,No,96
DAG0090,Airflow,Enable Compression,Higher Throughput,No,82
DAG0091,Airflow,Increase Sensor Sampling Rate,Lower Failure Rate,No,93
DAG0092,Airflow,Increase Retry Count,Lower Failure Rate,No,99
DAG0093,Airflow,Optimize SQL Query,Reduced Cost,No,100
DAG0094,Airflow,Scale Kubernetes Cluster,Improved Reliability,Yes,98
DAG0095,Airflow,Increase Sensor Sampling Rate,Runtime Reduced,Yes,98
DAG0096,Airflow,Enable Autoscaling,Higher Throughput,Yes,91
DAG0097,Airflow,Replace Aging Hardware,Memory Optimized,No,83
DAG0098,Airflow,Move Job to Off-Peak Hours,Latency Reduced,Yes,83
DAG0099,Airflow,Replace Aging Hardware,CPU Reduced,Yes,99
DAG0100,Airflow,Enable Compression,Improved Reliability,Yes,98
DAG0101,Airflow,Increase Retry Count,Lower Failure Rate,Yes,94
DAG0102,Airflow,Increase Sensor Sampling Rate,Latency Reduced,Yes,85
DAG0103,Airflow,Increase Retry Count,Improved Reliability,Yes,89
DAG0104,Airflow,Increase Kafka Partitions,Latency Reduced,No,84
DAG0105,Airflow,Increase Worker Nodes,Reduced Cost,No,84
DAG0106,Airflow,Move Job to Off-Peak Hours,Lower Failure Rate,Yes,87
DAG0107,Airflow,Increase Sensor Sampling Rate,CPU Reduced,Yes,95
DAG0108,Airflow,Replace Aging Hardware,Runtime Reduced,Yes,98
DAG0109,Airflow,Increase Worker Nodes,Lower Failure Rate,No,98
DAG0110,Airflow,Increase Retry Count,Memory Optimized,No,89
DAG0111,Airflow,Reduce Batch Size,Higher Throughput,Yes,88
DAG0112,Airflow,Optimize Indexing,Improved Reliability,No,85
DAG0113,Airflow,Increase Memory Limit,Lower Failure Rate,Yes,94
DAG0114,Airflow,Optimize SQL Query,Runtime Reduced,Yes,84
DAG0115,Airflow,Increase Worker Nodes,Runtime Reduced,No,82
DAG0116,Airflow,Reduce Batch Size,Higher Throughput,No,84
DAG0117,Airflow,Increase Sensor Sampling Rate,Memory Optimized,Yes,97
DAG0118,Airflow,Optimize SQL Query,Lower Failure Rate,Yes,88
DAG0119,Airflow,Increase Worker Nodes,CPU Reduced,No,89
DAG0120,Airflow,Replace Aging Hardware,Latency Reduced,Yes,84
DAG0121,Airflow,Increase Retry Count,Improved Reliability,No,85
DAG0122,Airflow,Enable Autoscaling,Higher Throughput,No,97
DAG0123,Airflow,Enable Autoscaling,Runtime Reduced,No,92
DAG0124,Airflow,Increase Retry Count,Lower Failure Rate,No,97
DAG0125,Airflow,Increase Sensor Sampling Rate,Latency Reduced,No,91
DAG0126,Airflow,Optimize Indexing,Reduced Cost,Yes,93
DAG0127,Airflow,Increase Memory Limit,Latency Reduced,No,93
DAG0128,Airflow,Enable Compression,CPU Reduced,No,96
DAG0129,Airflow,Enable Compression,Latency Reduced,No,87
DAG0130,Airflow,Reduce Batch Size,Latency Reduced,No,85
DAG0131,Airflow,Increase Kafka Partitions,Latency Reduced,No,85
DAG0132,Airflow,Reduce Batch Size,Improved Reliability,Yes,93
DAG0133,Airflow,Enable Autoscaling,Latency Reduced,No,87
DAG0134,Airflow,Increase Sensor Sampling Rate,Latency Reduced,No,83
DAG0135,Airflow,Scale Kubernetes Cluster,Lower Failure Rate,No,99
DAG0136,Airflow,Increase Sensor Sampling Rate,Lower Failure Rate,Yes,94
DAG0137,Airflow,Scale Kubernetes Cluster,Runtime Reduced,Yes,96
DAG0138,Airflow,Move Job to Off-Peak Hours,Runtime Reduced,Yes,85
DAG0139,Airflow,Increase Kafka Partitions,Lower Failure Rate,Yes,83
DAG0140,Airflow,Enable Compression,CPU Reduced,Yes,94
DAG0141,Airflow,Reduce Batch Size,Latency Reduced,Yes,95
DAG0142,Airflow,Optimize Indexing,Higher Throughput,Yes,91
DAG0143,Airflow,Reduce Batch Size,Lower Failure Rate,Yes,94
DAG0144,Airflow,Move Job to Off-Peak Hours,Reduced Cost,No,94
DAG0145,Airflow,Increase Worker Nodes,Latency Reduced,Yes,95
DAG0146,Airflow,Increase Sensor Sampling Rate,Higher Throughput,Yes,82
DAG0147,Airflow,Enable Autoscaling,CPU Reduced,Yes,89
DAG0148,Airflow,Increase Kafka Partitions,Lower Failure Rate,Yes,98
DAG0149,Airflow,Enable Autoscaling,Higher Throughput,Yes,96
DAG0150,Airflow,Optimize Indexing,Latency Reduced,No,97
DAG0151,Airflow,Increase Retry Count,Memory Optimized,Yes,91
DAG0152,Airflow,Increase Kafka Partitions,Lower Failure Rate,Yes,96
DAG0153,Airflow,Reduce Batch Size,Reduced Cost,Yes,91
DAG0154,Airflow,Reduce Batch Size,CPU Reduced,No,84
DAG0155,Airflow,Move Job to Off-Peak Hours,Reduced Cost,Yes,93
DAG0156,Airflow,Optimize SQL Query,Reduced Cost,Yes,98
DAG0157,Airflow,Increase Worker Nodes,Higher Throughput,Yes,97
DAG0158,Airflow,Increase Memory Limit,Lower Failure Rate,No,100
DAG0159,Airflow,Increase Worker Nodes,Lower Failure Rate,Yes,86
DAG0160,Airflow,Reduce Batch Size,Memory Optimized,Yes,95
DAG0161,Airflow,Optimize SQL Query,Lower Failure Rate,Yes,100
DAG0162,Airflow,Reduce Batch Size,Higher Throughput,Yes,82
DAG0163,Airflow,Reduce Batch Size,Higher Throughput,Yes,84
DAG0164,Airflow,Increase Kafka Partitions,Lower Failure Rate,Yes,88
DAG0165,Airflow,Increase Memory Limit,CPU Reduced,Yes,88
DAG0166,Airflow,Reduce Batch Size,Memory Optimized,No,83
DAG0167,Airflow,Increase Retry Count,Reduced Cost,No,100
DAG0168,Airflow,Optimize SQL Query,Runtime Reduced,No,84
DAG0169,Airflow,Increase Kafka Partitions,Reduced Cost,Yes,86
DAG0170,Airflow,Enable Autoscaling,Reduced Cost,Yes,94
DAG0171,Airflow,Enable Autoscaling,Improved Reliability,No,90
DAG0172,Airflow,Optimize SQL Query,Latency Reduced,Yes,83
DAG0173,Airflow,Scale Kubernetes Cluster,Lower Failure Rate,No,87
DAG0174,Airflow,Replace Aging Hardware,Runtime Reduced,No,86
DAG0175,Airflow,Scale Kubernetes Cluster,CPU Reduced,Yes,98
DAG0176,Airflow,Increase Worker Nodes,Reduced Cost,No,86
DAG0177,Airflow,Optimize Indexing,Higher Throughput,Yes,99
DAG0178,Airflow,Reduce Batch Size,Higher Throughput,No,96
DAG0179,Airflow,Increase Retry Count,Improved Reliability,Yes,92
DAG0180,Airflow,Optimize SQL Query,Reduced Cost,No,94
DAG0181,Airflow,Enable Autoscaling,Memory Optimized,Yes,94
DAG0182,Airflow,Replace Aging Hardware,Latency Reduced,Yes,94
DAG0183,Airflow,Move Job to Off-Peak Hours,CPU Reduced,Yes,83
DAG0184,Airflow,Increase Retry Count,CPU Reduced,Yes,91
DAG0185,Airflow,Reduce Batch Size,Latency Reduced,Yes,82
DAG0186,Airflow,Optimize SQL Query,Runtime Reduced,No,93
DAG0187,Airflow,Reduce Batch Size,Memory Optimized,Yes,94
DAG0188,Airflow,Replace Aging Hardware,Improved Reliability,Yes,94
DAG0189,Airflow,Optimize Indexing,CPU Reduced,No,89
DAG0190,Airflow,Enable Autoscaling,Runtime Reduced,Yes,99
DAG0191,Airflow,Increase Worker Nodes,Runtime Reduced,Yes,91
DAG0192,Airflow,Increase Worker Nodes,Lower Failure Rate,No,91
DAG0193,Airflow,Enable Compression,Latency Reduced,No,85
DAG0194,Airflow,Increase Sensor Sampling Rate,Memory Optimized,Yes,85
DAG0195,Airflow,Increase Sensor Sampling Rate,Lower Failure Rate,Yes,88
DAG0196,Airflow,Move Job to Off-Peak Hours,Higher Throughput,No,82
DAG0197,Airflow,Reduce Batch Size,Improved Reliability,Yes,99
DAG0198,Airflow,Increase Memory Limit,Lower Failure Rate,Yes,88
DAG0199,Airflow,Enable Compression,Memory Optimized,Yes,86
DAG0200,Airflow,Increase Kafka Partitions,Lower Failure Rate,Yes,88
DAG0201,Airflow,Increase Worker Nodes,Lower Failure Rate,No,85
DAG0202,Airflow,Move Job to Off-Peak Hours,CPU Reduced,Yes,88
DAG0203,Airflow,Optimize SQL Query,Higher Throughput,Yes,100
DAG0204,Airflow,Increase Sensor Sampling Rate,CPU Reduced,No,98
DAG0205,Airflow,Enable Autoscaling,Lower Failure Rate,Yes,99
DAG0206,Airflow,Optimize SQL Query,Memory Optimized,Yes,90
DAG0207,Airflow,Move Job to Off-Peak Hours,Latency Reduced,Yes,91
DAG0208,Airflow,Increase Sensor Sampling Rate,Reduced Cost,No,93
DAG0209,Airflow,Increase Sensor Sampling Rate,CPU Reduced,Yes,98
DAG0210,Airflow,Optimize Indexing,CPU Reduced,No,93
DAG0211,Airflow,Enable Autoscaling,Lower Failure Rate,Yes,83
DAG0212,Airflow,Reduce Batch Size,CPU Reduced,No,94
DAG0213,Airflow,Optimize SQL Query,Memory Optimized,No,85
DAG0214,Airflow,Scale Kubernetes Cluster,Memory Optimized,Yes,87
DAG0215,Airflow,Scale Kubernetes Cluster,Higher Throughput,Yes,92
DAG0216,Airflow,Scale Kubernetes Cluster,Runtime Reduced,Yes,84
DAG0217,Airflow,Increase Retry Count,Memory Optimized,No,97
DAG0218,Airflow,Increase Retry Count,Lower Failure Rate,Yes,86
DAG0219,Airflow,Optimize Indexing,Improved Reliability,No,91
DAG0220,Airflow,Move Job to Off-Peak Hours,Runtime Reduced,Yes,86
DAG0221,Airflow,Enable Compression,Runtime Reduced,Yes,98
DAG0222,Airflow,Increase Retry Count,Latency Reduced,Yes,84
DAG0223,Airflow,Optimize Indexing,CPU Reduced,Yes,98
DAG0224,Airflow,Enable Autoscaling,CPU Reduced,No,89
DAG0225,Airflow,Enable Compression,Lower Failure Rate,No,88
DAG0226,Airflow,Increase Kafka Partitions,CPU Reduced,No,82
DAG0227,Airflow,Replace Aging Hardware,Memory Optimized,Yes,98
DAG0228,Airflow,Increase Retry Count,CPU Reduced,No,93
DAG0229,Airflow,Enable Autoscaling,Improved Reliability,Yes,100
DAG0230,Airflow,Optimize SQL Query,Lower Failure Rate,No,91
DAG0231,Airflow,Reduce Batch Size,Runtime Reduced,No,85
DAG0232,Airflow,Optimize SQL Query,Lower Failure Rate,No,100
DAG0233,Airflow,Optimize SQL Query,Runtime Reduced,Yes,89
DAG0234,Airflow,Scale Kubernetes Cluster,Memory Optimized,Yes,94
DAG0235,Airflow,Optimize SQL Query,Memory Optimized,No,100
DAG0236,Airflow,Enable Compression,Runtime Reduced,No,97
DAG0237,Airflow,Increase Memory Limit,Higher Throughput,Yes,95
DAG0238,Airflow,Increase Worker Nodes,Memory Optimized,Yes,99
DAG0239,Airflow,Reduce Batch Size,Improved Reliability,Yes,92
DAG0240,Airflow,Increase Memory Limit,Runtime Reduced,Yes,96
DAG0241,Airflow,Move Job to Off-Peak Hours,Latency Reduced,Yes,89
DAG0242,Airflow,Increase Memory Limit,Memory Optimized,No,84
DAG0243,Airflow,Increase Worker Nodes,Reduced Cost,No,86
DAG0244,Airflow,Enable Compression,Higher Throughput,No,99
DAG0245,Airflow,Replace Aging Hardware,Memory Optimized,No,92
DAG0246,Airflow,Move Job to Off-Peak Hours,Improved Reliability,No,83
DAG0247,Airflow,Increase Sensor Sampling Rate,CPU Reduced,No,84
DAG0248,Airflow,Increase Sensor Sampling Rate,Reduced Cost,Yes,87
DAG0249,Airflow,Scale Kubernetes Cluster,Latency Reduced,Yes,94
DAG0250,Airflow,Increase Worker Nodes,Higher Throughput,Yes,85
DAG0251,Airflow,Increase Sensor Sampling Rate,Lower Failure Rate,No,87
DAG0252,Airflow,Increase Worker Nodes,Higher Throughput,Yes,92
DAG0253,Airflow,Reduce Batch Size,CPU Reduced,No,100
DAG0254,Airflow,Increase Memory Limit,CPU Reduced,No,95
DAG0255,Airflow,Enable Compression,Runtime Reduced,Yes,88
DAG0256,Airflow,Increase Worker Nodes,Lower Failure Rate,Yes,99
DAG0257,Airflow,Increase Worker Nodes,Improved Reliability,Yes,84
DAG0258,Airflow,Optimize Indexing,Improved Reliability,Yes,83
DAG0259,Airflow,Optimize Indexing,Higher Throughput,Yes,86
DAG0260,Airflow,Enable Compression,Memory Optimized,Yes,86
DAG0261,Airflow,Optimize SQL Query,Runtime Reduced,No,95
DAG0262,Airflow,Increase Sensor Sampling Rate,Improved Reliability,Yes,98
DAG0263,Airflow,Optimize SQL Query,Improved Reliability,No,92
DAG0264,Airflow,Optimize Indexing,Reduced Cost,Yes,99
DAG0265,Airflow,Increase Kafka Partitions,CPU Reduced,Yes,100
DAG0266,Airflow,Increase Kafka Partitions,Improved Reliability,No,84
DAG0267,Airflow,Enable Autoscaling,Higher Throughput,No,91
DAG0268,Airflow,Enable Compression,Reduced Cost,No,84
DAG0269,Airflow,Move Job to Off-Peak Hours,Higher Throughput,No,84
DAG0270,Airflow,Replace Aging Hardware,Higher Throughput,No,93
DAG0271,Airflow,Enable Compression,Higher Throughput,No,92
DAG0272,Airflow,Increase Sensor Sampling Rate,Latency Reduced,No,95
DAG0273,Airflow,Move Job to Off-Peak Hours,Lower Failure Rate,No,94
DAG0274,Airflow,Increase Sensor Sampling Rate,Runtime Reduced,No,100
DAG0275,Airflow,Scale Kubernetes Cluster,Reduced Cost,Yes,85
DAG0276,Airflow,Replace Aging Hardware,Latency Reduced,Yes,96
DAG0277,Airflow,Enable Compression,Reduced Cost,Yes,82
DAG0278,Airflow,Replace Aging Hardware,Improved Reliability,Yes,90
DAG0279,Airflow,Increase Worker Nodes,Memory Optimized,Yes,97
DAG0280,Airflow,Increase Kafka Partitions,Improved Reliability,Yes,96
DAG0281,Airflow,Increase Worker Nodes,CPU Reduced,No,85
DAG0282,Airflow,Increase Retry Count,Reduced Cost,Yes,89
DAG0283,Airflow,Increase Kafka Partitions,Improved Reliability,No,99
DAG0284,Airflow,Scale Kubernetes Cluster,Runtime Reduced,Yes,86
DAG0285,Airflow,Optimize SQL Query,Higher Throughput,Yes,93
DAG0286,Airflow,Move Job to Off-Peak Hours,Memory Optimized,No,86
DAG0287,Airflow,Optimize SQL Query,Reduced Cost,No,95
DAG0288,Airflow,Increase Worker Nodes,Runtime Reduced,No,93
DAG0289,Airflow,Optimize Indexing,Runtime Reduced,No,96
DAG0290,Airflow,Replace Aging Hardware,Runtime Reduced,No,97
DAG0291,Airflow,Enable Autoscaling,Latency Reduced,No,87
DAG0292,Airflow,Increase Worker Nodes,Higher Throughput,Yes,83
DAG0293,Airflow,Replace Aging Hardware,Improved Reliability,No,92
DAG0294,Airflow,Increase Sensor Sampling Rate,Latency Reduced,No,87
DAG0295,Airflow,Scale Kubernetes Cluster,Latency Reduced,Yes,85
DAG0296,Airflow,Replace Aging Hardware,CPU Reduced,No,83
DAG0297,Airflow,Increase Memory Limit,CPU Reduced,No,90
DAG0298,Airflow,Scale Kubernetes Cluster,Runtime Reduced,No,97
DAG0299,Airflow,Reduce Batch Size,Lower Failure Rate,Yes,96
DAG0300,Airflow,Increase Memory Limit,Runtime Reduced,Yes,97
DAG0301,Airflow,Increase Sensor Sampling Rate,Latency Reduced,Yes,83
DAG0302,Airflow,Increase Kafka Partitions,CPU Reduced,No,89
DAG0303,Airflow,Increase Kafka Partitions,Higher Throughput,Yes,95
DAG0304,Airflow,Optimize SQL Query,CPU Reduced,No,95
DAG0305,Airflow,Increase Retry Count,Runtime Reduced,Yes,88
DAG0306,Airflow,Move Job to Off-Peak Hours,Runtime Reduced,Yes,93
DAG0307,Airflow,Scale Kubernetes Cluster,Lower Failure Rate,No,88
DAG0308,Airflow,Optimize SQL Query,Latency Reduced,No,87
DAG0309,Airflow,Optimize SQL Query,Lower Failure Rate,Yes,91
DAG0310,Airflow,Increase Retry Count,Latency Reduced,Yes,100
DAG0311,Airflow,Increase Sensor Sampling Rate,Reduced Cost,Yes,86
DAG0312,Airflow,Move Job to Off-Peak Hours,Improved Reliability,Yes,84
DAG0313,Airflow,Increase Worker Nodes,CPU Reduced,No,93
DAG0314,Airflow,Replace Aging Hardware,Latency Reduced,No,93
DAG0315,Airflow,Replace Aging Hardware,CPU Reduced,Yes,96
DAG0316,Airflow,Enable Compression,Lower Failure Rate,No,96
DAG0317,Airflow,Enable Compression,Higher Throughput,Yes,91
DAG0318,Airflow,Optimize SQL Query,Latency Reduced,Yes,83
DAG0319,Airflow,Increase Kafka Partitions,Runtime Reduced,No,97
DAG0320,Airflow,Reduce Batch Size,CPU Reduced,No,83
DAG0321,Airflow,Increase Kafka Partitions,Improved Reliability,Yes,98
DAG0322,Airflow,Enable Compression,CPU Reduced,Yes,96
DAG0323,Airflow,Increase Kafka Partitions,Runtime Reduced,No,90
DAG0324,Airflow,Optimize SQL Query,Higher Throughput,No,97
DAG0325,Airflow,Enable Autoscaling,Improved Reliability,Yes,93
DAG0326,Airflow,Enable Autoscaling,CPU Reduced,Yes,87
DAG0327,Airflow,Optimize Indexing,Higher Throughput,No,97
DAG0328,Airflow,Enable Compression,Lower Failure Rate,No,93
DAG0329,Airflow,Increase Sensor Sampling Rate,CPU Reduced,Yes,82
DAG0330,Airflow,Scale Kubernetes Cluster,Latency Reduced,Yes,87
DAG0331,Airflow,Increase Sensor Sampling Rate,Latency Reduced,No,87
DAG0332,Airflow,Increase Retry Count,CPU Reduced,No,85
DAG0333,Airflow,Enable Autoscaling,Reduced Cost,Yes,84
DAG0334,Airflow,Reduce Batch Size,Latency Reduced,No,88
DAG0335,Airflow,Optimize SQL Query,Improved Reliability,Yes,85
DAG0336,Airflow,Replace Aging Hardware,CPU Reduced,No,96
DAG0337,Airflow,Enable Compression,Runtime Reduced,Yes,87
DAG0338,Airflow,Enable Compression,Reduced Cost,No,91
DAG0339,Airflow,Increase Worker Nodes,Latency Reduced,Yes,89
DAG0340,Airflow,Scale Kubernetes Cluster,Reduced Cost,No,100
DAG0341,Airflow,Enable Autoscaling,Higher Throughput,Yes,91
DAG0342,Airflow,Increase Retry Count,Lower Failure Rate,Yes,95
DAG0343,Airflow,Optimize Indexing,Latency Reduced,No,96
DAG0344,Airflow,Increase Retry Count,Latency Reduced,Yes,86
DAG0345,Airflow,Move Job to Off-Peak Hours,Runtime Reduced,No,82
DAG0346,Airflow,Enable Compression,CPU Reduced,Yes,85
DAG0347,Airflow,Increase Sensor Sampling Rate,CPU Reduced,No,99
DAG0348,Airflow,Enable Autoscaling,Lower Failure Rate,Yes,99
DAG0349,Airflow,Replace Aging Hardware,Reduced Cost,Yes,90
DAG0350,Airflow,Enable Compression,Runtime Reduced,Yes,87
DAG0351,Airflow,Increase Sensor Sampling Rate,Memory Optimized,No,87
DAG0352,Airflow,Increase Memory Limit,Higher Throughput,Yes,83
DAG0353,Airflow,Increase Sensor Sampling Rate,Latency Reduced,Yes,90
DAG0354,Airflow,Increase Memory Limit,Improved Reliability,Yes,93
DAG0355,Airflow,Optimize Indexing,Runtime Reduced,Yes,92
DAG0356,Airflow,Enable Autoscaling,Memory Optimized,No,92
DAG0357,Airflow,Optimize Indexing,Lower Failure Rate,No,87
DAG0358,Airflow,Increase Worker Nodes,Improved Reliability,No,99
DAG0359,Airflow,Optimize Indexing,Memory Optimized,No,84
DAG0360,Airflow,Enable Compression,Higher Throughput,Yes,92
DAG0361,Airflow,Optimize SQL Query,Latency Reduced,No,84
DAG0362,Airflow,Reduce Batch Size,Latency Reduced,No,96
DAG0363,Airflow,Move Job to Off-Peak Hours,Memory Optimized,No,98
DAG0364,Airflow,Optimize Indexing,CPU Reduced,Yes,98
DAG0365,Airflow,Increase Worker Nodes,CPU Reduced,No,91
DAG0366,Airflow,Increase Worker Nodes,Reduced Cost,Yes,82
DAG0367,Airflow,Increase Memory Limit,CPU Reduced,Yes,88
DAG0368,Airflow,Increase Worker Nodes,CPU Reduced,Yes,86
DAG0369,Airflow,Increase Sensor Sampling Rate,Higher Throughput,Yes,97
DAG0370,Airflow,Increase Worker Nodes,Memory Optimized,No,88
DAG0371,Airflow,Replace Aging Hardware,Improved Reliability,Yes,88
DAG0372,Airflow,Enable Autoscaling,Lower Failure Rate,Yes,87
DAG0373,Airflow,Increase Sensor Sampling Rate,Runtime Reduced,No,96
DAG0374,Airflow,Move Job to Off-Peak Hours,Lower Failure Rate,No,86
DAG0375,Airflow,Optimize SQL Query,Reduced Cost,Yes,86
DAG0376,Airflow,Increase Worker Nodes,Reduced Cost,Yes,86
DAG0377,Airflow,Enable Compression,Latency Reduced,No,93
DAG0378,Airflow,Replace Aging Hardware,Memory Optimized,Yes,82
DAG0379,Airflow,Enable Compression,Lower Failure Rate,Yes,100
DAG0380,Airflow,Increase Kafka Partitions,Memory Optimized,No,95
DAG0381,Airflow,Enable Compression,Improved Reliability,No,87
DAG0382,Airflow,Increase Kafka Partitions,CPU Reduced,No,100
DAG0383,Airflow,Increase Sensor Sampling Rate,Improved Reliability,Yes,85
DAG0384,Airflow,Replace Aging Hardware,Improved Reliability,No,86
DAG0385,Airflow,Optimize Indexing,CPU Reduced,Yes,88
DAG0386,Airflow,Increase Kafka Partitions,Lower Failure Rate,No,100
DAG0387,Airflow,Enable Autoscaling,CPU Reduced,Yes,91
DAG0388,Airflow,Increase Worker Nodes,Latency Reduced,Yes,100
DAG0389,Airflow,Enable Autoscaling,Reduced Cost,No,84
DAG0390,Airflow,Increase Worker Nodes,Runtime Reduced,No,90
DAG0391,Airflow,Increase Retry Count,Latency Reduced,No,92
DAG0392,Airflow,Increase Retry Count,Improved Reliability,No,99
DAG0393,Airflow,Increase Memory Limit,Improved Reliability,Yes,89
