entity_id,source_system,depends_on,downstream,dependency_type
DAG0035,Airflow,DAG0003,DAG0035,Consumes Data
DAG0036,Airflow,DAG0005,DAG0036,Consumes Data
DAG0037,Airflow,DAG0014,DAG0037,Reads From
DAG0038,Airflow,DAG0015,DAG0038,Writes To
DAG0039,Airflow,DAG0018,DAG0039,Processes
DAG0040,Airflow,DAG0034,DAG0040,Processes
DAG0041,Airflow,DAG0030,DAG0041,Publishes Event
DAG0042,Airflow,DAG0019,DAG0042,Processes
DAG0043,Airflow,DAG0019,DAG0043,Writes To
DAG0044,Airflow,DAG0038,DAG0044,Processes
DAG0045,Airflow,DAG0025,DAG0045,Triggers Pipeline
DAG0046,Airflow,DAG0040,DAG0046,Monitors
DAG0047,Airflow,DAG0011,DAG0047,Writes To
DAG0048,Airflow,DAG0032,DAG0048,Triggers Pipeline
DAG0049,Airflow,DAG0025,DAG0049,Processes
DAG0050,Airflow,DAG0039,DAG0050,Depends On
DAG0051,Airflow,DAG0034,DAG0051,Writes To
DAG0052,Airflow,DAG0017,DAG0052,Publishes Event
DAG0053,Airflow,DAG0042,DAG0053,Monitors
DAG0054,Airflow,DAG0042,DAG0054,Publishes Event
DAG0055,Airflow,DAG0055,DAG0055,Processes
DAG0056,Airflow,DAG0018,DAG0056,Triggers Pipeline
DAG0057,Airflow,DAG0050,DAG0057,Depends On
DAG0058,Airflow,DAG0005,DAG0058,Publishes Event
DAG0059,Airflow,DAG0022,DAG0059,Processes
DAG0060,Airflow,DAG0043,DAG0060,Publishes Event
DAG0061,Airflow,DAG0052,DAG0061,Monitors
DAG0062,Airflow,DAG0025,DAG0062,Monitors
DAG0063,Airflow,DAG0018,DAG0063,Reads From
DAG0064,Airflow,DAG0038,DAG0064,Depends On
DAG0065,Airflow,DAG0041,DAG0065,Monitors
DAG0066,Airflow,DAG0051,DAG0066,Writes To
DAG0067,Airflow,DAG0023,DAG0067,Triggers Pipeline
DAG0068,Airflow,DAG0060,DAG0068,Processes
DAG0069,Airflow,DAG0008,DAG0069,Processes
DAG0070,Airflow,DAG0043,DAG0070,Publishes Event
DAG0071,Airflow,DAG0017,DAG0071,Publishes Event
DAG0072,Airflow,DAG0049,DAG0072,Triggers Pipeline
DAG0073,Airflow,DAG0060,DAG0073,Writes To
DAG0074,Airflow,DAG0058,DAG0074,Triggers Pipeline
DAG0075,Airflow,DAG0019,DAG0075,Triggers Pipeline
DAG0076,Airflow,DAG0039,DAG0076,Publishes Event
DAG0077,Airflow,DAG0009,DAG0077,Consumes Data
DAG0078,Airflow,DAG0023,DAG0078,Processes
DAG0079,Airflow,DAG0005,DAG0079,Reads From
DAG0080,Airflow,DAG0056,DAG0080,Triggers Pipeline
DAG0081,Airflow,DAG0052,DAG0081,Depends On
DAG0082,Airflow,DAG0057,DAG0082,Publishes Event
DAG0083,Airflow,DAG0079,DAG0083,Writes To
DAG0084,Airflow,DAG0021,DAG0084,Triggers Pipeline
DAG0085,Airflow,DAG0068,DAG0085,Monitors
DAG0086,Airflow,DAG0067,DAG0086,Triggers Pipeline
DAG0087,Airflow,DAG0076,DAG0087,Triggers Pipeline
DAG0088,Airflow,DAG0059,DAG0088,Publishes Event
DAG0089,Airflow,DAG0041,DAG0089,Reads From
DAG0090,Airflow,DAG0066,DAG0090,Processes
DAG0091,Airflow,DAG0018,DAG0091,Writes To
DAG0092,Airflow,DAG0017,DAG0092,Publishes Event
DAG0093,Airflow,DAG0042,DAG0093,Depends On
DAG0094,Airflow,DAG0093,DAG0094,Consumes Data
DAG0095,Airflow,DAG0053,DAG0095,Processes
DAG0096,Airflow,DAG0025,DAG0096,Reads From
DAG0097,Airflow,DAG0051,DAG0097,Depends On
DAG0098,Airflow,DAG0032,DAG0098,Consumes Data
DAG0099,Airflow,DAG0037,DAG0099,Consumes Data
DAG0100,Airflow,DAG0043,DAG0100,Writes To
DAG0101,Airflow,DAG0079,DAG0101,Monitors
DAG0102,Airflow,DAG0034,DAG0102,Depends On
DAG0103,Airflow,DAG0096,DAG0103,Depends On
DAG0104,Airflow,DAG0042,DAG0104,Processes
DAG0105,Airflow,DAG0075,DAG0105,Publishes Event
DAG0106,Airflow,DAG0011,DAG0106,Triggers Pipeline
DAG0107,Airflow,DAG0036,DAG0107,Reads From
DAG0108,Airflow,DAG0030,DAG0108,Reads From
DAG0109,Airflow,DAG0072,DAG0109,Processes
DAG0110,Airflow,DAG0008,DAG0110,Monitors
DAG0111,Airflow,DAG0062,DAG0111,Reads From
DAG0112,Airflow,DAG0034,DAG0112,Depends On
DAG0113,Airflow,DAG0038,DAG0113,Triggers Pipeline
DAG0114,Airflow,DAG0018,DAG0114,Processes
DAG0115,Airflow,DAG0085,DAG0115,Processes
DAG0116,Airflow,DAG0025,DAG0116,Writes To
DAG0117,Airflow,DAG0008,DAG0117,Consumes Data
DAG0118,Airflow,DAG0116,DAG0118,Consumes Data
DAG0119,Airflow,DAG0065,DAG0119,Depends On
DAG0120,Airflow,DAG0011,DAG0120,Writes To
DAG0121,Airflow,DAG0012,DAG0121,Triggers Pipeline
DAG0122,Airflow,DAG0022,DAG0122,Triggers Pipeline
DAG0123,Airflow,DAG0014,DAG0123,Triggers Pipeline
DAG0124,Airflow,DAG0041,DAG0124,Triggers Pipeline
DAG0125,Airflow,DAG0122,DAG0125,Processes
DAG0126,Airflow,DAG0075,DAG0126,Monitors
DAG0127,Airflow,DAG0013,DAG0127,Writes To
DAG0128,Airflow,DAG0124,DAG0128,Depends On
DAG0129,Airflow,DAG0085,DAG0129,Monitors
DAG0130,Airflow,DAG0048,DAG0130,Depends On
DAG0131,Airflow,DAG0035,DAG0131,Depends On
DAG0132,Airflow,DAG0036,DAG0132,Triggers Pipeline
DAG0133,Airflow,DAG0075,DAG0133,Consumes Data
DAG0134,Airflow,DAG0109,DAG0134,Publishes Event
DAG0135,Airflow,DAG0053,DAG0135,Consumes Data
DAG0136,Airflow,DAG0064,DAG0136,Triggers Pipeline
DAG0137,Airflow,DAG0125,DAG0137,Depends On
DAG0138,Airflow,DAG0125,DAG0138,Depends On
DAG0139,Airflow,DAG0093,DAG0139,Writes To
DAG0140,Airflow,DAG0109,DAG0140,Triggers Pipeline
DAG0141,Airflow,DAG0043,DAG0141,Processes
DAG0142,Airflow,DAG0022,DAG0142,Reads From
DAG0143,Airflow,DAG0136,DAG0143,Consumes Data
DAG0144,Airflow,DAG0102,DAG0144,Writes To
DAG0145,Airflow,DAG0112,DAG0145,Reads From
DAG0146,Airflow,DAG0096,DAG0146,Triggers Pipeline
DAG0147,Airflow,DAG0095,DAG0147,Triggers Pipeline
DAG0148,Airflow,DAG0082,DAG0148,Writes To
DAG0149,Airflow,DAG0095,DAG0149,Reads From
DAG0150,Airflow,DAG0027,DAG0150,Reads From
DAG0151,Airflow,DAG0146,DAG0151,Consumes Data
DAG0152,Airflow,DAG0081,DAG0152,Monitors
DAG0153,Airflow,DAG0024,DAG0153,Reads From
DAG0154,Airflow,DAG0051,DAG0154,Monitors
DAG0155,Airflow,DAG0008,DAG0155,Monitors
DAG0156,Airflow,DAG0072,DAG0156,Monitors
DAG0157,Airflow,DAG0082,DAG0157,Reads From
DAG0158,Airflow,DAG0045,DAG0158,Triggers Pipeline
DAG0159,Airflow,DAG0006,DAG0159,Processes
DAG0160,Airflow,DAG0087,DAG0160,Writes To
DAG0161,Airflow,DAG0146,DAG0161,Consumes Data
DAG0162,Airflow,DAG0064,DAG0162,Publishes Event
DAG0163,Airflow,DAG0076,DAG0163,Consumes Data
DAG0164,Airflow,DAG0041,DAG0164,Consumes Data
DAG0165,Airflow,DAG0076,DAG0165,Processes
DAG0166,Airflow,DAG0095,DAG0166,Monitors
DAG0167,Airflow,DAG0142,DAG0167,Consumes Data
DAG0168,Airflow,DAG0055,DAG0168,Reads From
DAG0169,Airflow,DAG0004,DAG0169,Monitors
DAG0170,Airflow,DAG0010,DAG0170,Triggers Pipeline
DAG0171,Airflow,DAG0059,DAG0171,Triggers Pipeline
DAG0172,Airflow,DAG0035,DAG0172,Consumes Data
DAG0173,Airflow,DAG0046,DAG0173,Processes
DAG0174,Airflow,DAG0132,DAG0174,Consumes Data
DAG0175,Airflow,DAG0078,DAG0175,Monitors
DAG0176,Airflow,DAG0039,DAG0176,Reads From
DAG0177,Airflow,DAG0172,DAG0177,Depends On
DAG0178,Airflow,DAG0108,DAG0178,Depends On
DAG0179,Airflow,DAG0052,DAG0179,Depends On
DAG0180,Airflow,DAG0126,DAG0180,Publishes Event
DAG0181,Airflow,DAG0058,DAG0181,Depends On
DAG0182,Airflow,DAG0126,DAG0182,Depends On
DAG0183,Airflow,DAG0153,DAG0183,Consumes Data
DAG0184,Airflow,DAG0160,DAG0184,Triggers Pipeline
DAG0185,Airflow,DAG0054,DAG0185,Processes
DAG0186,Airflow,DAG0013,DAG0186,Publishes Event
DAG0187,Airflow,DAG0024,DAG0187,Depends On
DAG0188,Airflow,DAG0152,DAG0188,Processes
DAG0189,Airflow,DAG0172,DAG0189,Depends On
DAG0190,Airflow,DAG0062,DAG0190,Depends On
DAG0191,Airflow,DAG0104,DAG0191,Monitors
DAG0192,Airflow,DAG0169,DAG0192,Reads From
DAG0193,Airflow,DAG0101,DAG0193,Reads From
DAG0194,Airflow,DAG0131,DAG0194,Triggers Pipeline
DAG0195,Airflow,DAG0106,DAG0195,Writes To
DAG0196,Airflow,DAG0150,DAG0196,Monitors
DAG0197,Airflow,DAG0053,DAG0197,Consumes Data
DAG0198,Airflow,DAG0159,DAG0198,Processes
DAG0199,Airflow,DAG0002,DAG0199,Depends On
DAG0200,Airflow,DAG0140,DAG0200,Monitors
DAG0201,Airflow,DAG0165,DAG0201,Reads From
DAG0202,Airflow,DAG0198,DAG0202,Consumes Data
DAG0203,Airflow,DAG0019,DAG0203,Consumes Data
DAG0204,Airflow,DAG0194,DAG0204,Consumes Data
DAG0205,Airflow,DAG0163,DAG0205,Triggers Pipeline
DAG0206,Airflow,DAG0106,DAG0206,Triggers Pipeline
DAG0207,Airflow,DAG0092,DAG0207,Triggers Pipeline
DAG0208,Airflow,DAG0064,DAG0208,Reads From
DAG0209,Airflow,DAG0068,DAG0209,Publishes Event
DAG0210,Airflow,DAG0035,DAG0210,Processes
DAG0211,Airflow,DAG0060,DAG0211,Publishes Event
DAG0212,Airflow,DAG0097,DAG0212,Monitors
DAG0213,Airflow,DAG0055,DAG0213,Triggers Pipeline
DAG0214,Airflow,DAG0035,DAG0214,Consumes Data
DAG0215,Airflow,DAG0204,DAG0215,Triggers Pipeline
DAG0216,Airflow,DAG0046,DAG0216,Processes
DAG0217,Airflow,DAG0151,DAG0217,Publishes Event
DAG0218,Airflow,DAG0177,DAG0218,Depends On
DAG0219,Airflow,DAG0046,DAG0219,Depends On
DAG0220,Airflow,DAG0042,DAG0220,Monitors
DAG0221,Airflow,DAG0164,DAG0221,Processes
DAG0222,Airflow,DAG0172,DAG0222,Monitors
DAG0223,Airflow,DAG0045,DAG0223,Monitors
DAG0224,Airflow,DAG0124,DAG0224,Publishes Event
DAG0225,Airflow,DAG0142,DAG0225,Triggers Pipeline
DAG0226,Airflow,DAG0040,DAG0226,Publishes Event
DAG0227,Airflow,DAG0102,DAG0227,Reads From
DAG0228,Airflow,DAG0173,DAG0228,Reads From
DAG0229,Airflow,DAG0219,DAG0229,Monitors
DAG0230,Airflow,DAG0108,DAG0230,Processes
DAG0231,Airflow,DAG0093,DAG0231,Writes To
DAG0232,Airflow,DAG0162,DAG0232,Triggers Pipeline
DAG0233,Airflow,DAG0106,DAG0233,Triggers Pipeline
DAG0234,Airflow,DAG0027,DAG0234,Writes To
DAG0235,Airflow,DAG0141,DAG0235,Processes
DAG0236,Airflow,DAG0089,DAG0236,Writes To
DAG0237,Airflow,DAG0213,DAG0237,Monitors
DAG0238,Airflow,DAG0049,DAG0238,Depends On
DAG0239,Airflow,DAG0202,DAG0239,Processes
DAG0240,Airflow,DAG0198,DAG0240,Processes
DAG0241,Airflow,DAG0093,DAG0241,Consumes Data
DAG0242,Airflow,DAG0198,DAG0242,Publishes Event
DAG0243,Airflow,DAG0188,DAG0243,Reads From
DAG0244,Airflow,DAG0018,DAG0244,Triggers Pipeline
DAG0245,Airflow,DAG0135,DAG0245,Processes
DAG0246,Airflow,DAG0147,DAG0246,Monitors
DAG0247,Airflow,DAG0136,DAG0247,Consumes Data
DAG0248,Airflow,DAG0173,DAG0248,Processes
DAG0249,Airflow,DAG0212,DAG0249,Depends On
DAG0250,Airflow,DAG0055,DAG0250,Depends On
DAG0251,Airflow,DAG0188,DAG0251,Publishes Event
DAG0252,Airflow,DAG0163,DAG0252,Monitors
DAG0253,Airflow,DAG0038,DAG0253,Triggers Pipeline
DAG0254,Airflow,DAG0144,DAG0254,Reads From
DAG0255,Airflow,DAG0160,DAG0255,Triggers Pipeline
DAG0256,Airflow,DAG0231,DAG0256,Processes
DAG0257,Airflow,DAG0103,DAG0257,Writes To
DAG0258,Airflow,DAG0096,DAG0258,Reads From
DAG0259,Airflow,DAG0199,DAG0259,Consumes Data
DAG0260,Airflow,DAG0160,DAG0260,Depends On
DAG0261,Airflow,DAG0095,DAG0261,Depends On
DAG0262,Airflow,DAG0184,DAG0262,Publishes Event
DAG0263,Airflow,DAG0105,DAG0263,Publishes Event
DAG0264,Airflow,DAG0022,DAG0264,Reads From
DAG0265,Airflow,DAG0238,DAG0265,Processes
DAG0266,Airflow,DAG0064,DAG0266,Publishes Event
DAG0267,Airflow,DAG0027,DAG0267,Monitors
DAG0268,Airflow,DAG0112,DAG0268,Processes
DAG0269,Airflow,DAG0075,DAG0269,Consumes Data
DAG0270,Airflow,DAG0019,DAG0270,Publishes Event
DAG0271,Airflow,DAG0056,DAG0271,Publishes Event
DAG0272,Airflow,DAG0239,DAG0272,Publishes Event
DAG0273,Airflow,DAG0004,DAG0273,Publishes Event
DAG0274,Airflow,DAG0237,DAG0274,Monitors
DAG0275,Airflow,DAG0193,DAG0275,Triggers Pipeline
DAG0276,Airflow,DAG0192,DAG0276,Consumes Data
DAG0277,Airflow,DAG0106,DAG0277,Consumes Data
DAG0278,Airflow,DAG0142,DAG0278,Depends On
DAG0279,Airflow,DAG0277,DAG0279,Processes
DAG0280,Airflow,DAG0239,DAG0280,Triggers Pipeline
DAG0281,Airflow,DAG0233,DAG0281,Processes
DAG0282,Airflow,DAG0273,DAG0282,Processes
DAG0283,Airflow,DAG0040,DAG0283,Processes
DAG0284,Airflow,DAG0112,DAG0284,Triggers Pipeline
DAG0285,Airflow,DAG0005,DAG0285,Monitors
DAG0286,Airflow,DAG0223,DAG0286,Reads From
DAG0287,Airflow,DAG0070,DAG0287,Publishes Event
DAG0288,Airflow,DAG0280,DAG0288,Depends On
DAG0289,Airflow,DAG0028,DAG0289,Depends On
DAG0290,Airflow,DAG0027,DAG0290,Writes To
DAG0291,Airflow,DAG0190,DAG0291,Triggers Pipeline
DAG0292,Airflow,DAG0108,DAG0292,Depends On
DAG0293,Airflow,DAG0007,DAG0293,Writes To
DAG0294,Airflow,DAG0237,DAG0294,Reads From
DAG0295,Airflow,DAG0048,DAG0295,Consumes Data
DAG0296,Airflow,DAG0132,DAG0296,Triggers Pipeline
DAG0297,Airflow,DAG0277,DAG0297,Monitors
DAG0298,Airflow,DAG0169,DAG0298,Monitors
DAG0299,Airflow,DAG0029,DAG0299,Publishes Event
DAG0300,Airflow,DAG0072,DAG0300,Consumes Data
DAG0301,Airflow,DAG0275,DAG0301,Triggers Pipeline
DAG0302,Airflow,DAG0088,DAG0302,Publishes Event
DAG0303,Airflow,DAG0172,DAG0303,Publishes Event
DAG0304,Airflow,DAG0004,DAG0304,Consumes Data
DAG0305,Airflow,DAG0155,DAG0305,Depends On
DAG0306,Airflow,DAG0091,DAG0306,Triggers Pipeline
DAG0307,Airflow,DAG0121,DAG0307,Processes
DAG0308,Airflow,DAG0028,DAG0308,Monitors
DAG0309,Airflow,DAG0235,DAG0309,Monitors
DAG0310,Airflow,DAG0127,DAG0310,Depends On
DAG0311,Airflow,DAG0286,DAG0311,Consumes Data
DAG0312,Airflow,DAG0095,DAG0312,Depends On
DAG0313,Airflow,DAG0264,DAG0313,Depends On
DAG0314,Airflow,DAG0245,DAG0314,Reads From
DAG0315,Airflow,DAG0232,DAG0315,Depends On
DAG0316,Airflow,DAG0214,DAG0316,Triggers Pipeline
DAG0317,Airflow,DAG0304,DAG0317,Processes
DAG0318,Airflow,DAG0090,DAG0318,Triggers Pipeline
DAG0319,Airflow,DAG0274,DAG0319,Writes To
DAG0320,Airflow,DAG0290,DAG0320,Processes
DAG0321,Airflow,DAG0101,DAG0321,Consumes Data
DAG0322,Airflow,DAG0180,DAG0322,Writes To
DAG0323,Airflow,DAG0034,DAG0323,Monitors
DAG0324,Airflow,DAG0014,DAG0324,Consumes Data
DAG0325,Airflow,DAG0290,DAG0325,Monitors
DAG0326,Airflow,DAG0025,DAG0326,Writes To
DAG0327,Airflow,DAG0007,DAG0327,Triggers Pipeline
DAG0328,Airflow,DAG0068,DAG0328,Consumes Data
DAG0329,Airflow,DAG0041,DAG0329,Monitors
DAG0330,Airflow,DAG0050,DAG0330,Publishes Event
DAG0331,Airflow,DAG0271,DAG0331,Reads From
DAG0332,Airflow,DAG0110,DAG0332,Reads From
DAG0333,Airflow,DAG0116,DAG0333,Monitors
DAG0334,Airflow,DAG0087,DAG0334,Publishes Event
DAG0335,Airflow,DAG0249,DAG0335,Writes To
DAG0336,Airflow,DAG0156,DAG0336,Publishes Event
DAG0337,Airflow,DAG0193,DAG0337,Processes
DAG0338,Airflow,DAG0201,DAG0338,Writes To
DAG0339,Airflow,DAG0211,DAG0339,Depends On
DAG0340,Airflow,DAG0163,DAG0340,Monitors
DAG0341,Airflow,DAG0275,DAG0341,Reads From
DAG0342,Airflow,DAG0259,DAG0342,Writes To
DAG0343,Airflow,DAG0290,DAG0343,Consumes Data
DAG0344,Airflow,DAG0308,DAG0344,Reads From
DAG0345,Airflow,DAG0143,DAG0345,Triggers Pipeline
DAG0346,Airflow,DAG0268,DAG0346,Writes To
DAG0347,Airflow,DAG0252,DAG0347,Depends On
DAG0348,Airflow,DAG0283,DAG0348,Monitors
DAG0349,Airflow,DAG0324,DAG0349,Depends On
DAG0350,Airflow,DAG0309,DAG0350,Depends On
DAG0351,Airflow,DAG0232,DAG0351,Processes
DAG0352,Airflow,DAG0046,DAG0352,Processes
DAG0353,Airflow,DAG0061,DAG0353,Reads From
DAG0354,Airflow,DAG0149,DAG0354,Writes To
DAG0355,Airflow,DAG0038,DAG0355,Publishes Event
DAG0356,Airflow,DAG0298,DAG0356,Triggers Pipeline
DAG0357,Airflow,DAG0135,DAG0357,Writes To
DAG0358,Airflow,DAG0060,DAG0358,Processes
DAG0359,Airflow,DAG0299,DAG0359,Consumes Data
DAG0360,Airflow,DAG0338,DAG0360,Processes
DAG0361,Airflow,DAG0205,DAG0361,Writes To
DAG0362,Airflow,DAG0184,DAG0362,Publishes Event
DAG0363,Airflow,DAG0238,DAG0363,Reads From
DAG0364,Airflow,DAG0152,DAG0364,Consumes Data
DAG0365,Airflow,DAG0094,DAG0365,Monitors
DAG0366,Airflow,DAG0223,DAG0366,Consumes Data
DAG0367,Airflow,DAG0070,DAG0367,Consumes Data
DAG0368,Airflow,DAG0243,DAG0368,Monitors
DAG0369,Airflow,DAG0213,DAG0369,Processes
DAG0370,Airflow,DAG0230,DAG0370,Monitors
DAG0371,Airflow,DAG0345,DAG0371,Depends On
DAG0372,Airflow,DAG0010,DAG0372,Depends On
DAG0373,Airflow,DAG0078,DAG0373,Publishes Event
DAG0374,Airflow,DAG0051,DAG0374,Triggers Pipeline
DAG0375,Airflow,DAG0323,DAG0375,Reads From
DAG0376,Airflow,DAG0085,DAG0376,Monitors
DAG0377,Airflow,DAG0359,DAG0377,Monitors
DAG0378,Airflow,DAG0267,DAG0378,Depends On
DAG0379,Airflow,DAG0153,DAG0379,Consumes Data
DAG0380,Airflow,DAG0185,DAG0380,Processes
DAG0381,Airflow,DAG0326,DAG0381,Monitors
DAG0382,Airflow,DAG0061,DAG0382,Monitors
DAG0383,Airflow,DAG0111,DAG0383,Triggers Pipeline
DAG0384,Airflow,DAG0071,DAG0384,Processes
DAG0385,Airflow,DAG0293,DAG0385,Writes To
DAG0386,Airflow,DAG0362,DAG0386,Processes
DAG0387,Airflow,DAG0074,DAG0387,Triggers Pipeline
DAG0388,Airflow,DAG0193,DAG0388,Publishes Event
DAG0389,Airflow,DAG0127,DAG0389,Triggers Pipeline
DAG0390,Airflow,DAG0335,DAG0390,Triggers Pipeline
DAG0391,Airflow,DAG0072,DAG0391,Writes To
DAG0392,Airflow,DAG0345,DAG0392,Triggers Pipeline
DAG0393,Airflow,DAG0237,DAG0393,Depends On
DAG0394,Airflow,DAG0004,DAG0394,Reads From
DAG0395,Airflow,DAG0133,DAG0395,Reads From
DAG0396,Airflow,DAG0349,DAG0396,Processes
DAG0397,Airflow,DAG0101,DAG0397,Triggers Pipeline
DAG0398,Airflow,DAG0398,DAG0398,Processes
DAG0399,Airflow,DAG0053,DAG0399,Consumes Data
DAG0400,Airflow,DAG0265,DAG0400,Depends On
DAG0401,Airflow,DAG0066,DAG0401,Writes To
DAG0402,Airflow,DAG0217,DAG0402,Depends On
DAG0403,Airflow,DAG0113,DAG0403,Consumes Data
DAG0404,Airflow,DAG0285,DAG0404,Publishes Event
DAG0405,Airflow,DAG0101,DAG0405,Consumes Data
DAG0406,Airflow,DAG0365,DAG0406,Publishes Event
DAG0407,Airflow,DAG0028,DAG0407,Writes To
DAG0408,Airflow,DAG0367,DAG0408,Processes
DAG0409,Airflow,DAG0385,DAG0409,Publishes Event
DAG0410,Airflow,DAG0227,DAG0410,Reads From
DAG0411,Airflow,DAG0362,DAG0411,Triggers Pipeline
DAG0412,Airflow,DAG0120,DAG0412,Processes
DAG0413,Airflow,DAG0174,DAG0413,Reads From
DAG0414,Airflow,DAG0097,DAG0414,Processes
DAG0415,Airflow,DAG0233,DAG0415,Consumes Data
DAG0416,Airflow,DAG0364,DAG0416,Processes
DAG0417,Airflow,DAG0237,DAG0417,Consumes Data
DAG0418,Airflow,DAG0202,DAG0418,Consumes Data
DAG0419,Airflow,DAG0107,DAG0419,Consumes Data
DAG0420,Airflow,DAG0366,DAG0420,Processes
DAG0421,Airflow,DAG0111,DAG0421,Consumes Data
DAG0422,Airflow,DAG0047,DAG0422,Consumes Data
DAG0423,Airflow,DAG0278,DAG0423,Monitors
DAG0424,Airflow,DAG0035,DAG0424,Reads From
DAG0425,Airflow,DAG0035,DAG0425,Depends On
DAG0426,Airflow,DAG0031,DAG0426,Triggers Pipeline
DAG0427,Airflow,DAG0118,DAG0427,Depends On
DAG0428,Airflow,DAG0065,DAG0428,Publishes Event
DAG0429,Airflow,DAG0185,DAG0429,Monitors
DAG0430,Airflow,DAG0195,DAG0430,Processes
DAG0431,Airflow,DAG0381,DAG0431,Depends On
DAG0432,Airflow,DAG0334,DAG0432,Monitors
DAG0433,Airflow,DAG0204,DAG0433,Publishes Event
DAG0434,Airflow,DAG0138,DAG0434,Reads From
DAG0435,Airflow,DAG0250,DAG0435,Triggers Pipeline
DAG0436,Airflow,DAG0326,DAG0436,Triggers Pipeline
DAG0437,Airflow,DAG0109,DAG0437,Consumes Data
DAG0438,Airflow,DAG0002,DAG0438,Processes
DAG0439,Airflow,DAG0325,DAG0439,Depends On
DAG0440,Airflow,DAG0066,DAG0440,Processes
DAG0441,Airflow,DAG0168,DAG0441,Monitors
DAG0442,Airflow,DAG0414,DAG0442,Reads From
DAG0443,Airflow,DAG0032,DAG0443,Reads From
DAG0444,Airflow,DAG0076,DAG0444,Writes To
DAG0445,Airflow,DAG0435,DAG0445,Reads From
DAG0446,Airflow,DAG0357,DAG0446,Reads From
DAG0447,Airflow,DAG0186,DAG0447,Publishes Event
DAG0448,Airflow,DAG0018,DAG0448,Publishes Event
DAG0449,Airflow,DAG0063,DAG0449,Processes
DAG0450,Airflow,DAG0033,DAG0450,Triggers Pipeline
DAG0451,Airflow,DAG0063,DAG0451,Consumes Data
DAG0452,Airflow,DAG0338,DAG0452,Processes
DAG0453,Airflow,DAG0143,DAG0453,Triggers Pipeline
DAG0454,Airflow,DAG0366,DAG0454,Depends On
DAG0455,Airflow,DAG0171,DAG0455,Writes To
DAG0456,Airflow,DAG0283,DAG0456,Writes To
DAG0457,Airflow,DAG0028,DAG0457,Depends On
DAG0458,Airflow,DAG0209,DAG0458,Depends On
DAG0459,Airflow,DAG0208,DAG0459,Consumes Data
DAG0460,Airflow,DAG0264,DAG0460,Depends On
DAG0461,Airflow,DAG0112,DAG0461,Writes To
DAG0462,Airflow,DAG0102,DAG0462,Publishes Event
DAG0463,Airflow,DAG0072,DAG0463,Depends On
DAG0464,Airflow,DAG0061,DAG0464,Monitors
DAG0465,Airflow,DAG0306,DAG0465,Consumes Data
DAG0466,Airflow,DAG0243,DAG0466,Publishes Event
DAG0467,Airflow,DAG0195,DAG0467,Monitors
DAG0468,Airflow,DAG0021,DAG0468,Consumes Data
DAG0469,Airflow,DAG0122,DAG0469,Writes To
DAG0470,Airflow,DAG0274,DAG0470,Triggers Pipeline
DAG0471,Airflow,DAG0086,DAG0471,Writes To
DAG0472,Airflow,DAG0002,DAG0472,Triggers Pipeline
DAG0473,Airflow,DAG0069,DAG0473,Writes To
DAG0474,Airflow,DAG0321,DAG0474,Consumes Data
DAG0475,Airflow,DAG0080,DAG0475,Processes
DAG0476,Airflow,DAG0419,DAG0476,Monitors
DAG0477,Airflow,DAG0424,DAG0477,Consumes Data
DAG0478,Airflow,DAG0418,DAG0478,Triggers Pipeline
DAG0479,Airflow,DAG0117,DAG0479,Monitors
